,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:PHAVU_003G225300g,"171,6362792729","6,8794760151","2,1861403938","3,146859202","0,0016503441","0,1273258835"
gene:PHAVU_003G228200g,"1155,978309333","10,227094808","2,4545360048","4,1666102221","3,09E-05","0,0092877065"
gene:PHAVU_003G228800g,"24573,4896588247","6,3610781044","1,9168917436","3,3184336703","0,0009052382","0,0884245553"
gene:PHAVU_003G233200g,"2099,4775020451","7,4370938341","2,0397059181","3,6461598547","0,0002661884","0,0386064934"
gene:PHAVU_003G238800g,"645,6281548118","7,05526006","2,0467766031","3,4470103133","0,0005668269","0,0644644185"
gene:PHAVU_003G241500g,"2098,1061908093","4,4700692654","1,7245006327","2,5920948828","0,0095393458","0,4219040667"
gene:PHAVU_003G249500g,"1084,4477502752","13,5787431558","3,1713346639","4,2817124633","1,85E-05","0,0067111422"
gene:PHAVU_003G250500g,"3313,3103205435","5,5267245464","1,8388717433","3,0054975648","0,0026514672","0,1723129006"
gene:PHAVU_003G250600g,"63,265629177","7,0257317073","2,5726653519","2,7309155084","0,0063158661",NA
gene:PHAVU_003G251000g,"788,3557107349","4,5953066904","1,7546784549","2,6188881943","0,0088216856","0,4036174641"
gene:PHAVU_003G258100g,"248,6891457398","5,6614891427","1,9455275249","2,9100020792","0,0036142635","0,2188072385"
gene:PHAVU_003G267400g,"464,207384559","7,5826194064","2,1448017884","3,5353473908","0,0004072394","0,0513342595"
gene:PHAVU_003G269000g,"444,1565905433","12,2909408811","3,112424227","3,9489928058","7,85E-05","0,0170060577"
gene:PHAVU_003G269100g,"117,7474539516","7,9270417092","2,5667317168","3,0883795363","0,0020125127","0,1442603146"
gene:PHAVU_003G276700g,"570,2060368416","10,2075054279","2,6534527438","3,8468766598","0,0001196332","0,0213607783"
gene:PHAVU_003G276800g,"70,5669349461","9,6369652898","3,0704093043","3,1386581836","0,001697233",NA
gene:PHAVU_003G293200g,"216,889550055","4,9613279013","1,8666409374","2,657890868","0,0078631351","0,3712499544"
gene:PHAVU_004G002600g,"459,9452009882","6,8866121675","2,0507227496","3,3581390604","0,0007846913","0,0827407567"
gene:PHAVU_004G005100g,"3016,7735314132","6,8181445265","1,9719043696","3,4576446159","0,0005449197","0,0628710964"
gene:PHAVU_004G005300g,"3458,372811814","6,2049366439","1,9091341546","3,2501312854","0,0011535174","0,0998168724"
gene:PHAVU_004G0144001g,"3085,5244055335","10,05839666","2,3005747366","4,3721234091","1,23E-05","0,0054419599"
gene:PHAVU_004G0144000g,"9185,2650323377","10,8958282902","2,3287158505","4,6788998699","2,88E-06","0,0024169448"
gene:PHAVU_004G019700g,"455,3865176907","4,7887319961","1,7962214566","2,6660031137","0,0076758982","0,3692315746"
gene:PHAVU_004G030400g,"668,903383355","5,7113852487","1,8889707234","3,0235435509","0,0024983307","0,1650556883"
gene:PHAVU_004G031100g,"823,8986154688","5,8073429786","1,8925466294","3,06853363","0,0021511212","0,1508817224"
gene:PHAVU_004G040000g,"237,8298432507","5,7507556051","1,9619582619","2,9311304511","0,0033773093","0,2068212235"
gene:PHAVU_004G045800g,"1185,8877192603","5,2505136267","1,8212978375","2,8828418496","0,0039410525","0,231547742"
gene:PHAVU_004G051200g,"666,4201981442","4,7071137948","1,7725243448","2,6555989533","0,0079167703","0,3712499544"
gene:PHAVU_004G073600g,"5587,7226613206","5,062351033","1,7856924772","2,834951201","0,0045832686","0,2573199794"
gene:PHAVU_004G074300g,"24832,8527947244","8,0406027571","2,0701193391","3,8841252315","0,000102699","0,019700879"
gene:PHAVU_004G074400g,"5820,512009218","7,9696594482","2,0729420969","3,8446126692","0,000120743","0,0213607783"
gene:PHAVU_004G079300g,"57,0761973829","9,3308642253","3,0831141108","3,0264414128","0,0024745077",NA
gene:PHAVU_004G082400g,"932,3063280305","9,3308710616","2,3261648226","4,0112682347","6,04E-05","0,0145694614"
gene:PHAVU_004G090100g,"52,8881387438","6,7650813279","2,5826645723","2,619419262","0,008807962",NA
gene:PHAVU_004G100900g,"335,3411908575","4,8073467451","1,8142671786","2,6497457496","0,0080552365","0,3750160109"
gene:PHAVU_004G108600g,"3634,9383990427","9,8795992333","2,2694503765","4,3533004006","1,34E-05","0,0057707866"
gene:PHAVU_004G116000g,"1847,5639217778","6,8927590095","1,9876006152","3,4678792896","0,0005245829","0,061414768"
gene:PHAVU_004G116100g,"957,5458672628","6,481148068","1,9621811046","3,3030325553","0,0009564528","0,091189473"
gene:PHAVU_004G122800g,"29,0569732131","8,356863157","3,1755720672","2,6316087244","0,0084981671",NA
gene:PHAVU_004G123900g,"1552,9914433367","4,7959104071","1,7656515298","2,7162270278","0,0066030622","0,3384992833"
gene:PHAVU_004G124100g,"818,8210576497","5,9528568653","1,9091094633","3,1181328151","0,0018200077","0,1363368183"
gene:PHAVU_004G134900g,"2126,8296018299","5,9347955896","1,8864733152","3,1459737817","0,0016553484","0,1273258835"
gene:PHAVU_004G1352001g,"4069,125186277","5,7795203205","1,8641863458","3,1002910913","0,0019333054","0,1412022411"
gene:PHAVU_004G142000g,"1778,4424229992","6,2158537761","1,918545669","3,2398779327","0,0011958088","0,1012748279"
gene:PHAVU_004G1616001g,"2546,5249649234","7,4050683611","2,0322766577","3,6437304601","0,0002687148","0,0386064934"
gene:PHAVU_004G1616000g,"23221,5991550981","6,7719979423","1,9564038379","3,4614519821","0,00053727","0,0624409652"
gene:PHAVU_004G164200g,"315,7351464318","4,9167125959","1,83158157","2,6844082056","0,0072658333","0,3608259482"
gene:PHAVU_004G164400g,"277,4125567604","4,8729990355","1,83497253","2,6556250603","0,0079161575","0,3712499544"
gene:PHAVU_004G1764001g,"2012,6401445982","7,1110232978","2,0078816913","3,5415549275","0,000397776","0,0510757254"
gene:PHAVU_004G1764002g,"486,630176388","8,9772322598","2,3796197992","3,7725489857","0,0001615882","0,0268000809"
gene:PHAVU_004G1764000g,"494,2279818838","7,1852318363","2,0835860441","3,4484929753","0,0005637241","0,0644644185"
gene:PHAVU_005G013200g,"750,589058051","6,264751929","1,9472988131","3,2171497701","0,0012947099","0,1077899932"
gene:PHAVU_005G015900g,"1422,0497515485","5,9494547973","1,8944615266","3,1404463558","0,001686906","0,1290918532"
gene:PHAVU_005G046500g,"1303,3757359511","4,5197533027","1,7359700471","2,6035894515","0,009225319","0,414930875"
gene:PHAVU_005G050500g,"57313,7307264288","10,6693013428","2,275305144","4,6891738329","2,74E-06","0,0024169448"
gene:PHAVU_005G052000g,"1513,3346048953","9,029213694","2,2284552394","4,0517814917","5,08E-05","0,0130532472"
gene:PHAVU_005G063200g,"4273,4505604146","4,6666094612","1,7424500958","2,6781883007","0,0074021592","0,3633300788"
gene:PHAVU_005G066400g,"16708,5379093237","4,6246168429","1,7341643483","2,6667696447","0,0076584144","0,3692315746"
gene:PHAVU_005G081500g,"2537,0369736701","9,5530711852","2,2545067417","4,2373220752","2,26E-05","0,0078295239"
gene:PHAVU_005G108900g,"453,1257072749","6,5398551679","2,0078594213","3,2571280132","0,0011254566","0,0984923102"
gene:PHAVU_005G117300g,"2602,341038468","7,179663092","2,0097045544","3,5724968012","0,0003535938","0,0477025054"
gene:PHAVU_005G121200g,"205,4001856468","7,7289285935","2,3160293552","3,3371462136","0,0008464341","0,0848283557"
gene:PHAVU_005G121300g,"193,9849461702","7,6460361419","2,3126496506","3,3061800519","0,0009457729","0,0909003753"
gene:PHAVU_005G124800g,"216,7042377259","6,4749624745","2,0769679693","3,1175071403","0,0018238753","0,1363368183"
gene:PHAVU_005G132700g,"129,7186304157","10,5152790794","3,0616019543","3,4345676664","0,0005934999","0,066943098"
gene:PHAVU_005G135700g,"389,1558912471","12,1002231759","3,1046181699","3,8974915799","9,72E-05","0,0190376822"
gene:PHAVU_005G139700g,"38,9155891247","8,7783259089","3,1241916472","2,8097911077","0,0049573664",NA
gene:PHAVU_005G149900g,"4405,9118133019","4,6684059125","1,7425734877","2,6790295764","0,0073835872","0,3633300788"
gene:PHAVU_005G1578001g,"20644,9053429867","10,4790133961","2,2706507027","4,6149825615","3,93E-06","0,0026176304"
gene:PHAVU_005G157900g,"881,4195624417","8,8339452231","2,2547319695","3,917958029","8,93E-05","0,0184658497"
gene:PHAVU_005G165100g,"3637,3845217877","5,7469952847","1,8615524935","3,0872056011","0,002020478","0,1442603146"
gene:PHAVU_005G174400g,"227,34116542","5,2600326277","1,9012974723","2,7665490037","0,005665307","0,2967569413"
gene:PHAVU_005G176300g,"692649,082839421","11,0536310683","2,2966308126","4,8129769084","1,49E-06","0,002302829"
gene:PHAVU_005G176400g,"396127,711694934","11,0044701683","2,2936895833","4,7977155446","1,60E-06","0,002302829"
gene:PHAVU_005G1765001g,"812,0015639364","10,7178627437","2,6804798914","3,9984865316","6,37E-05","0,0149328576"
gene:PHAVU_005G1765002g,"104771,588163737","10,7294585887","2,276911828","4,7122854985","2,45E-06","0,0024169448"
gene:PHAVU_005G1765000g,"838765,185888701","11,0095337813","2,2934619404","4,8003996","1,58E-06","0,002302829"
gene:PHAVU_005G179600g,"2816,1914663247","4,5145714951","1,7273239085","2,6136218418","0,0089588134","0,4063881104"
gene:PHAVU_006G006800g,"582,1401508398","10,2374133566","2,6550042917","3,8558933364","0,0001153078","0,0211026456"
gene:PHAVU_006G017500g,"781,4991545558","4,5143034744","1,7452700146","2,5865931555","0,0096929965","0,4241186918"
gene:PHAVU_006G030400g,"591,2575174347","4,5875968852","1,7620277527","2,60358946","0,0092253188","0,414930875"
gene:PHAVU_006G039800g,"27327,7126822765","11,2059134887","2,3245023301","4,8207796326","1,43E-06","0,002302829"
gene:PHAVU_006G042300g,"91,3219158126","10,0089311135","3,062334917","3,2683985863","0,0010815793","0,097846055"
gene:PHAVU_006G047400g,"1739,0450218186","5,0749117306","1,7957176664","2,8261189525","0,0047115764","0,2613857812"
gene:PHAVU_006G065300g,"5156,7973710796","6,1561658077","1,9013368315","3,2378091592","0,0012045135","0,1014722991"
gene:PHAVU_006G065900g,"8269,5256265346","5,1953056885","1,7989102181","2,8880294504","0,0038766357","0,2294564843"
gene:PHAVU_006G074700g,"593,407140453","7,9385075719","2,1687701939","3,6603728667","0,0002518485","0,0374759968"
gene:PHAVU_006G075400g,"407,4647493686","5,0974825645","1,8389037866","2,7720224417","0,0055709196","0,2943234929"
gene:PHAVU_006G078400g,"36,3212165164","8,678790564","3,1345798355","2,7687253219","0,0056276058",NA
gene:PHAVU_006G094600g,"129,644505484","7,0610773501","2,2934808328","3,0787601314","0,0020786397","0,1470937836"
gene:PHAVU_006G100500g,"1335,2865190333","8,4321884269","2,1646655411","3,8953770302","9,80E-05","0,0190376822"
gene:PHAVU_006G105900g,"221,7076706133","5,4923321312","1,9345985989","2,8390034679","0,0045254665","0,2573199794"
gene:PHAVU_006G114700g,"111,9286468158","5,8348148241","2,0908180836","2,7906850768","0,005259662","0,2829200631"
gene:PHAVU_006G117200g,"77,2752412619","7,3163201483","2,5664082784","2,8508013358","0,0043609207",NA
gene:PHAVU_006G140400g,"402,053629357","4,7449817187","1,7967326168","2,640894741","0,0082687405","0,3838334857"
gene:PHAVU_006G175300g,"71,5305590578","6,1943485815","2,2879611169","2,7073661942","0,0067819404",NA
gene:PHAVU_006G186700g,"2680,3945915124","6,2327947896","1,9145283376","3,25552496","0,0011318295","0,0984923102"
gene:PHAVU_006G189500g,"239,6459040765","4,9110364039","1,8512673791","2,6527969213","0,0079827883","0,3727330064"
gene:PHAVU_006G192000g,"274,7440592204","6,3302074878","2,0256718576","3,1249915746","0,0017781015","0,1341750356"
