,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g021100,"2368,3214691081","-0,8065871525","0,2437641488","-3,3088834282","0,0009366883","0,0022826391"
gene:MTR_1g021110,"10830,4530881671","1,4928495864","0,138295228","10,7946572572","3,65E-27","5,56E-26"
gene:MTR_1g021120,"1459,2252181241","-1,5043958712","0,2218944987","-6,779779941","1,20E-11","6,82E-11"
gene:MTR_1g021150,"6208,7653309553","0,8906143859","0,2231632344","3,9908651995","6,58E-05","0,0001892891"
gene:MTR_1g021270,"2305,0151792587","0,8834259515","0,1195025581","7,3925275381","1,44E-13","9,50E-13"
gene:MTR_1g021290,"27,0470349972","-1,5166221758","0,5083509477","-2,9834156555","0,0028505059","0,0064043615"
gene:MTR_1g021320,"689,1494590257","-0,4048612858","0,1401286217","-2,8892119324","0,0038620868","0,008482492"
gene:MTR_1g021330,"23,9075927433","1,4452338805","0,4949074842","2,9202101943","0,0034979537","0,0077424426"
gene:MTR_1g021360,"375,195534159","0,8166670965","0,1726076515","4,7313493313","2,23E-06","7,72E-06"
gene:MTR_1g021435,"661,1028624417","-0,6140900645","0,1602540857","-3,8319775861","0,0001271173","0,0003520529"
gene:MTR_1g021520,"135,4863143279","-2,2776971082","0,4068174183","-5,5988190413","2,16E-08","9,18E-08"
gene:MTR_1g021570,"526,6513380705","-2,9998135311","0,1863118763","-16,1010322643","2,51E-58","1,13E-56"
gene:MTR_1g021610,"103,0685629838","1,6249132757","0,4141482195","3,9235066073","8,73E-05","0,0002471824"
gene:MTR_1g021642,"174,0287146215","2,5563238584","0,2605126775","9,8126658655","9,93E-23","1,17E-21"
gene:MTR_1g021652,"3164,112570826","2,0373639613","0,291305839","6,993900185","2,67E-12","1,60E-11"
gene:MTR_1g021670,"911,1728973434","-1,0836335493","0,1519025282","-7,1337426851","9,77E-13","6,06E-12"
gene:MTR_1g021740,"45,0311307974","-3,0028280903","0,4870195998","-6,1657232924","7,02E-10","3,42E-09"
gene:MTR_1g021730,"7,3669806707","-4,1151262789","1,189518346","-3,4594895429","0,0005412003","0,0013668197"
gene:MTR_1g021855,"2324,359329033","1,5286643611","0,3112928781","4,9106949398","9,08E-07","3,28E-06"
gene:MTR_1g021875,"39,194182584","1,0364648111","0,3292250773","3,148195209","0,0016428194","0,0038404648"
gene:MTR_1g021895,"4133,3910387848","0,7728619102","0,1334732501","5,7903880356","7,02E-09","3,13E-08"
gene:MTR_1g021915,"105,5728753655","4,0914487707","0,3472652932","11,7819109792","4,84E-32","9,39E-31"
gene:MTR_1g021955,"1768,937775186","5,1862247271","0,1683791264","30,8008768016","2,55E-208","1,08E-205"
gene:MTR_1g021970,"1845,765371522","0,6463814981","0,1753164033","3,6869424999","0,0002269646","0,0006070331"
gene:MTR_1g021995,"421,2967295509","0,6789375609","0,185108416","3,6677833211","0,0002446624","0,0006507509"
gene:MTR_1g022005,"67,655809844","-2,2870365997","0,451046806","-5,0705083577","3,97E-07","1,49E-06"
gene:MTR_1g022015,"573,6208647647","-1,8102580049","0,1900468622","-9,5253243559","1,65E-21","1,80E-20"
gene:MTR_1g022025,"3560,4723753303","-1,567649448","0,1885871863","-8,3125978971","9,36E-17","7,65E-16"
gene:MTR_1g022040,"547,4107050473","-4,2782182109","0,4880173091","-8,7665296522","1,84E-18","1,68E-17"
gene:MTR_1g022045,"1698,4194800202","0,5046020035","0,1647863022","3,0621598809","0,0021974605","0,0050317486"
gene:MTR_1g022050,"2288,5891739744","2,0733966817","0,1489188553","13,9229963729","4,59E-44","1,41E-42"
gene:MTR_1g022065,"15,7511191873","-2,1818415749","0,7489271761","-2,9132893619","0,0035764303","0,0079013028"
gene:MTR_1g022070,"25,1923966206","-3,3280985848","0,6409399226","-5,1925281409","2,07E-07","8,03E-07"
gene:MTR_1g022080,"9,1975986968","3,4613351875","0,8509169906","4,0677706823","4,75E-05","0,0001391101"
gene:MTR_1g022145,"3457,0261280939","1,0525518755","0,1500844711","7,0130631614","2,33E-12","1,40E-11"
gene:MTR_1g022160,"1704,7751918572","-1,5682314831","0,1261984778","-12,4267068043","1,87E-35","4,22E-34"
gene:MTR_1g022190,"239,0020955139","1,0291972166","0,3113569085","3,3055223392","0,0009479955","0,0023087985"
gene:MTR_1g022200,"7,4167184045","2,5464744576","0,8231492916","3,0935754711","0,0019776025","0,0045604028"
gene:MTR_1g022245,"93,2959899869","1,4135548819","0,389322104","3,6308107541","0,0002825323","0,0007450977"
gene:MTR_1g022250,"402,4981825348","3,1148620218","0,4080909685","7,6327639226","2,30E-14","1,59E-13"
gene:MTR_1g022255,"1374,640181801","-0,7084765022","0,1922735101","-3,6847327631","0,0002289427","0,0006117491"
gene:MTR_1g022260,"91,2260193783","-1,1019211531","0,2439090209","-4,517754813","6,25E-06","2,05E-05"
gene:MTR_1g022265,"2274,4865912632","1,2002137425","0,210713257","5,6959574323","1,23E-08","5,33E-08"
gene:MTR_1g022300,"302,9488885005","0,8787882084","0,2420652994","3,6303766402","0,0002830079","0,0007461218"
gene:MTR_1g022305,"2375,1642275951","1,3795839574","0,1707011654","8,0818660745","6,38E-16","4,94E-15"
gene:MTR_1g022325,"64,4567493257","7,224196131","0,8742189183","8,2636007756","1,41E-16","1,14E-15"
gene:MTR_1g022365,"54,5729002716","-1,915818236","0,4403430125","-4,3507406313","1,36E-05","4,28E-05"
gene:MTR_1g022370,"127,464238923","-1,5807895124","0,4014312369","-3,9378836695","8,22E-05","0,0002336276"
gene:MTR_1g022395,"7509,8897838431","1,5472185622","0,3352390836","4,6152690366","3,93E-06","1,32E-05"
gene:MTR_1g022400,"479,0613406973","-0,9474226866","0,247050878","-3,8349294453","0,0001256003","0,0003481337"
gene:MTR_1g022410,"5813,6899502174","-0,7209723866","0,1630395734","-4,4220698792","9,78E-06","3,14E-05"
gene:MTR_1g022415,"9223,9612110473","0,7269060744","0,1254134198","5,796078885","6,79E-09","3,02E-08"
gene:MTR_1g022420,"2262,0482187698","-4,9623546686","0,7401650324","-6,7043894958","2,02E-11","1,13E-10"
gene:MTR_1g022445,"9,4201969917","-6,1857369868","1,412355203","-4,3797317937","1,19E-05","3,78E-05"
gene:MTR_1g022485,"8278,9413750396","1,628713092","0,140272755","11,6110437271","3,62E-31","6,79E-30"
gene:MTR_1g022950,"86,1653882602","-2,4296574124","0,4305300757","-5,6434092516","1,67E-08","7,17E-08"
gene:MTR_1g023000,"2503,247932729","-0,4822344662","0,1431111824","-3,3696490955","0,0007526396","0,0018605291"
gene:MTR_1g023020,"7,7216409498","6,865298854","1,5035783655","4,5659734215","4,97E-06","1,66E-05"
gene:MTR_1g023030,"1674,5598089363","1,0442846304","0,2684939635","3,8894156758","0,0001004859","0,000282347"
gene:MTR_1g023140,"2035,1645413085","-2,1875539356","0,4279599944","-5,1115851111","3,19E-07","1,21E-06"
gene:MTR_1g023180,"1231,8685701496","-2,5664790205","0,331374568","-7,7449486716","9,56E-15","6,82E-14"
gene:MTR_1g023230,"168,2496152702","1,5282845163","0,3850088141","3,9694792962","7,20E-05","0,0002062747"
gene:MTR_1g023310,"2388,4295941244","1,4704068841","0,1310843609","11,217256383","3,36E-29","5,70E-28"
gene:MTR_1g023470,"29,6750946011","3,868884897","0,626626675","6,1741465073","6,65E-10","3,25E-09"
gene:MTR_1g023500,"6436,6789166061","0,4056459563","0,1305482425","3,1072494629","0,0018883697","0,004372129"
gene:MTR_1g023510,"3186,7453440767","0,4479621274","0,1460668353","3,0668298272","0,0021634198","0,0049584538"
gene:MTR_1g023600,"1669,6973939958","0,6586248331","0,1826426088","3,6060853347","0,000310851","0,0008140007"
gene:MTR_1g023605,"248,2440886981","0,6869126277","0,220016051","3,1221023395","0,0017956451","0,0041748931"
gene:MTR_1g023690,"3120,6687650901","0,5111215607","0,1655454456","3,0874999836","0,0020184778","0,0046477625"
gene:MTR_1g023700,"55,6847357972","1,1297366706","0,3254604984","3,4711944338","0,0005181487","0,0013122875"
gene:MTR_1g023730,"1311,1172616849","-1,0104755178","0,2094073684","-4,8254057414","1,40E-06","4,95E-06"
gene:MTR_1g023760,"6327,6426810433","-0,615083621","0,1170721925","-5,2538831616","1,49E-07","5,84E-07"
gene:MTR_1g423950,"27,1003499496","1,7232915266","0,4746592936","3,6305862957","0,0002827781","0,000745603"
gene:MTR_1g423960,"190,3141781573","0,6436759111","0,2061897917","3,1217642042","0,0017977086","0,0041788379"
gene:MTR_1g023955,"1929,3344222719","0,535556023","0,1228254389","4,3603021323","1,30E-05","4,11E-05"
gene:MTR_1g024005,"1977,1395413767","-1,2665353149","0,159257102","-7,9527713288","1,82E-15","1,37E-14"
gene:MTR_1g024085,"406,2990615153","-0,5762579543","0,1986396625","-2,9010216144","0,0037194822","0,0081913943"
gene:MTR_1g024125,"4,9378865187","-5,2109988407","1,589632051","-3,2781163649","0,0010450231","0,0025266431"
gene:MTR_1g024145,"19,7245780109","3,8346669641","0,7458153413","5,1415769452","2,72E-07","1,04E-06"
gene:MTR_1g024155,"11,3920110325","7,4465986788","1,3381702587","5,5647617559","2,63E-08","1,11E-07"
gene:MTR_1g024165,"9,9954002004","3,263764587","0,7522154607","4,3388693232","1,43E-05","4,51E-05"
gene:MTR_1g024175,"33,4515085938","1,9172952021","0,4453304532","4,3053314417","1,67E-05","5,21E-05"
