,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PsCam043094,"4767,7875757128","-7,0223588288","2,4533461831","-2,8623595305","0,0042049961","0,1520465854"
PsCam043162,"1869,6502914867","-7,6758176396","2,5586814413","-2,9999114058","0,0027005814","0,1137157081"
PsCam043238,"116625,763431636","9,2733027526","2,7112054615","3,4203614902","0,0006253797","0,0424907711"
PsCam043281,"1564,3093947181","6,4586587411","2,3883308085","2,7042563442","0,0068457455","0,2116483971"
PsCam043321,"557,2755004041","12,7503456708","3,7690481248","3,3829086944","0,0007172247","0,0462489763"
PsCam043403,"1742,2913334782","7,7758485488","2,56881199","3,0270212764","0,0024697657","0,107332291"
PsCam043448,"6354,556526325","7,9553692416","2,5694314528","3,0961593596","0,0019604497","0,0934886911"
PsCam043465,"7071,7626933079","6,1722225965","2,3328029694","2,6458396518","0,0081488434","0,2366863922"
PsCam043512,"5416,9553878908","8,1242459841","2,5920011214","3,1343528045","0,0017223364","0,0843116339"
PsCam043515,"95,5329429264","10,2060709883","3,6559302667","2,7916481562","0,0052440344",NA
PsCam043561,"125,102663356","10,5951077123","3,6600968787","2,8947615496","0,0037944665",NA
PsCam043588,"1158347,626136","10,7321629838","2,8604806772","3,7518739662","0,0001755177","0,0183085656"
PsCam043590,"624,7392594906","7,8816063443","2,6387412866","2,9868810499","0,0028183936","0,1167555031"
PsCam043601,"20424,8237037188","7,5534478009","2,5137615223","3,0048386587","0,0026572176","0,1123003544"
PsCam043621,"1267,6752700148","7,9025578487","2,5978678428","3,0419399011","0,0023505882","0,1043181083"
PsCam043650,"535,6668585517","12,6932922021","3,7651623717","3,3712469607","0,0007482875","0,0469626836"
PsCam043681,"6150,3179421299","-7,068113907","2,4573403562","-2,8763267933","0,0040233294","0,1468610858"
PsCam043704,"50153,3997203358","15,7994602499","3,4549614129","4,5729773395","4,81E-06","0,0061139605"
PsCam043740,"476,0113794995","8,0750696463","2,699613877","2,9911943019","0,0027788862","0,1161634932"
PsCam043758,"11139,2626520862","6,591711278","2,3897600553","2,7583151135","0,0058100161","0,1904647611"
PsCam043796,"10023,3465289659","-9,5184137741","2,7534525468","-3,456901331","0,0005464249","0,0395766239"
PsCam043802,"4676,9264253637","-9,1958064136","2,7316780371","-3,3663580733","0,0007616777","0,0474154637"
PsCam043843,"311,5223755489","-8,0922109441","2,8065773698","-2,8833022853","0,003935296","0,1446954751"
PsCam044033,"383,0110495488","8,7634668132","2,8733556422","3,0499067656","0,0022891242","0,1025383523"
PsCam044086,"201691,050029934","12,414729988","3,0214322797","4,1088890429","3,98E-05","0,0097079014"
PsCam044184,"362,0236664429","7,0899980542","2,5579341646","2,7717672144","0,0055752891","0,1845052221"
PsCam044224,"29794,4678721297","6,0235363749","2,3085638599","2,6092136672","0,0090750558","0,2552207091"
PsCam044233,"15823,3605443949","6,3972509081","2,3621710059","2,7082082085","0,0067647568","0,2099192486"
PsCam044298,"59055,6981080525","6,5985132206","2,3883336898","2,7628104266","0,0057306039","0,1882924405"
PsCam044302,"1972,4361329169","9,5444132618","2,8080629519","3,398931372","0,0006764969","0,0445192938"
PsCam044314,"1607,5202736936","-6,9942316872","2,467549405","-2,8344849643","0,0045899618","0,1621481437"
PsCam044355,"7860,7585565699","7,6269000035","2,5267574426","3,0184535623","0,0025406834","0,1087724163"
PsCam044392,"219,8194607715","-11,0370738526","3,6521120177","-3,0221071531","0,0025102167","0,1076681973"
PsCam044637,"39505,6149541586","12,6476979652","3,0629639812","4,1292349642","3,64E-05","0,0095265613"
PsCam044641,"1645082,89871544","14,4428453227","3,1907994403","4,5264033647","6,00E-06","0,0061139605"
PsCam044654,"21445,9708766276","9,6179458974","2,7536971848","3,4927391256","0,0004780933","0,0359866782"
PsCam044656,"570943,134271184","14,5010598141","3,1994957999","4,5322953118","5,83E-06","0,0061139605"
PsCam044666,"4856,2579320932","15,8736532493","3,9972642338","3,9711293326","7,15E-05","0,0127776341"
PsCam044677,"1500,9748561372","-7,5509621678","2,5487409713","-2,9626243909","0,0030502853","0,122151562"
PsCam044724,"1513,4842075115","10,7483329511","3,0462277657","3,5284075183","0,000418068","0,0331829629"
PsCam044731,"2547765,27708215","14,3063631251","3,1789604949","4,5003274335","6,78E-06","0,0061139605"
PsCam044761,"711,9478841898","13,1037188747","3,7936565604","3,4541131138","0,0005521058","0,039739537"
PsCam045001,"27407,8442971298","9,3406789726","2,7219155459","3,4316564255","0,000599907","0,0415556276"
PsCam045051,"4487,0197955225","6,7491922463","2,4156376669","2,7939588535","0,0052067103","0,1748685721"
PsCam045055,"835,3139509317","-12,9630216384","3,7779221404","-3,43125696","0,0006007912","0,0415556276"
PsCam045154,"1092,2735222199","7,4631837131","2,5416458424","2,9363586337","0,0033209014","0,1292066267"
PsCam045319,"1002,895524195","6,3303693427","2,3802508224","2,6595387692","0,0078247724","0,230176223"
PsCam045372,"7609,6538228654","16,5216219347","4,0442231909","4,0852398977","4,40E-05","0,0097516628"
PsCam045378,"804,1741568509","7,8306061176","2,6117630409","2,9982069563","0,0027157319","0,1139370714"
PsCam045433,"8410,1104918116","9,4139967019","2,7404422709","3,4352107329","0,0005920932","0,0415556276"
PsCam045501,"13336,7106513516","7,3251442429","2,4860738281","2,9464709214","0,0032142264","0,1259069326"
PsCam045510,"956159,007322549","14,3798939542","3,1870385327","4,5119924992","6,42E-06","0,0061139605"
PsCam045517,"13793,6057436757","11,1292426967","2,9253669099","3,8043920778","0,0001421529","0,017323847"
PsCam045540,"5226,7587153063","12,5369434512","3,1982852639","3,9198953241","8,86E-05","0,0139755783"
PsCam045600,"9331,6943171126","8,0827852811","2,5821309042","3,1302771165","0,0017464147","0,0848632274"
PsCam045604,"9836,9496908063","10,6412734853","2,8786857519","3,696573507","0,000218529","0,0215101649"
PsCam045686,"1579,6414018113","-6,8422161439","2,4463284269","-2,7969327702","0,0051590267","0,1739793005"
PsCam045719,"788,8650237911","-7,4295996357","2,5630588162","-2,8987238173","0,0037468478","0,1400992614"
PsCam045826,"1240,3453749337","-6,9089618455","2,4631084818","-2,8049766774","0,0050320221","0,1707093748"
PsCam045887,"1060,3239873575","8,6472877562","2,7174552702","3,1821269889","0,001461977","0,0744993728"
PsCam045919,"3165,322463396","-5,9600410037","2,3078833797","-2,5824706119","0,0098095716","0,2693013869"
PsCam045942,"5512,220247146","12,6136717442","3,2042401205","3,9365563347","8,27E-05","0,0135992134"
PsCam045960,"7199,9689055128","12,999076147","3,2379536947","4,0145960605","5,95E-05","0,0120014992"
PsCam045967,"4806,2168667507","15,8587103354","3,9961725585","3,9684748602","7,23E-05","0,0127776341"
PsCam045979,"81,8853796512","9,9836814449","3,6571076377","2,7299391853","0,006334601",NA
PsCam046086,"3873,0084576866","-9,1460080596","2,7313621465","-3,3485153448","0,0008124578","0,0494447702"
PsCam046148,"2487,0103878093","11,4651891981","3,1087588745","3,6880278146","0,000225999","0,0221507822"
PsCam046160,"156378,833338733","5,9677617412","2,2998045745","2,5948995003","0,0094618581","0,2628889964"
PsCam046169,"2402,7552583","7,1580611311","2,4781733149","2,8884425024","0,003871548","0,1431354185"
PsCam046175,"44930,5213560519","12,8333603609","3,0790454687","4,167967148","3,07E-05","0,0090155771"
PsCam046198,"11272,61460684","6,0166912822","2,3090611852","2,6056872468","0,0091690141","0,2569220229"
PsCam046241,"2616,9202580202","14,9817009052","3,9315594959","3,810625509","0,0001386156","0,017073441"
PsCam046263,"4685,6633911531","15,8220628576","3,9934936907","3,9619601489","7,43E-05","0,0127776341"
PsCam046268,"3453,970805566","15,3820767388","3,9611711586","3,8832143634","0,0001030846","0,0149330055"
PsCam046290,"5930,9770061367","-8,1734313164","2,5994667812","-3,1442722698","0,0016650045","0,0821200172"
PsCam046349,"20396,2210974205","6,8235911963","2,4196543451","2,8200685814","0,0048013387","0,1670532232"
PsCam046442,"71585,5025280064","15,3127930541","3,3393239238","4,5855967864","4,53E-06","0,0061139605"
PsCam046448,"21159,7728009131","12,9693886787","3,1236416574","4,1520091295","3,30E-05","0,0091457414"
PsCam046509,"29623,7946445148","14,0398546301","3,2401479322","4,3330906255","1,47E-05","0,0068862302"
PsCam046575,"5734,8724282111","11,6706130214","3,0407714284","3,8380435019","0,0001240185","0,0160332985"
PsCam046591,"2618,1636904747","-6,4518329605","2,3812073945","-2,7094796427","0,006738884","0,2094692527"
PsCam046656,"77161,41140377","14,836043143","3,2755482602","4,5293312644","5,92E-06","0,0061139605"
PsCam046687,"364,2982603221","7,0991001742","2,5588490954","2,7743332684","0,005531498","0,1838484755"
PsCam046704,"4560,0446896041","11,3397905817","3,0099392594","3,767448312","0,0001649247","0,0180890953"
PsCam046726,"7583,7366280858","6,8523977756","2,4264204563","2,8240768238","0,0047417018","0,1657293131"
PsCam046837,"39421,2600938638","7,4271097261","2,4968288596","2,9746170618","0,002933545","0,1190660459"
PsCam046840,"351,4247543365","12,0851845502","3,7258380723","3,2436150782","0,0011802312","0,0632192235"
PsCam046867,"3398,8645142722","10,915611473","2,9712174625","3,6737841005","0,0002389847","0,022840391"
PsCam046908,"22782,0742749761","14,661003358","3,3696634221","4,3508806434","1,36E-05","0,0066437673"
PsCam046961,"6052,4362934561","12,748572318","3,2173598918","3,9624327855","7,42E-05","0,0127776341"
PsCam046985,"98,9448337452","10,2566963754","3,6560337316","2,805416232","0,0050251641",NA
PsCam047024,"2195,8623712716","11,2854994319","3,0931855162","3,6485039041","0,0002637719","0,0239252862"
PsCam047061,"13044,2798590221","12,8564264818","3,1425721719","4,0910520995","4,29E-05","0,0097079014"
PsCam047119,"6103,3566366416","11,7604800072","3,0468200836","3,8599194192","0,0001134244","0,0158727047"
PsCam047138,"92241,1947655801","14,0935618074","3,1887660729","4,4197540633","9,88E-06","0,0061139605"
PsCam047151,"2740,6413297602","-6,463474042","2,3822642617","-2,7131641715","0,006664408","0,2079963557"
PsCam047185,"127,1192381387","7,1655827965","2,7590980118","2,5970743938","0,0094021558",NA
PsCam047235,"90,983755168","10,1356826108","3,6558258417","2,7724741412","0,0055631939",NA
PsCam047284,"54620,4440799892","14,922562778","3,3095081263","4,5089971707","6,51E-06","0,0061139605"
PsCam047289,"27695,4550731458","18,3853168733","4,1745011003","4,404195","1,06E-05","0,0061139605"
PsCam047295,"92,1210521076","10,1536042666","3,6559746269","2,77726333","0,0054818746",NA
PsCam047331,"58,0021439196","9,4861872471","3,6722655515","2,583197515","0,0097889264",NA
PsCam047347,"68,237816376","9,7206501086","3,6627063698","2,6539528772","0,0079554936",NA
PsCam047362,"102,356724564","10,3056053019","3,6562659252","2,8186148143","0,0048231358",NA
PsCam047405,"97,8075368056","10,2400178616","3,6559840571","2,8008923731","0,0050961512",NA
PsCam047432,"83431,4346523399","13,72633274","3,1546552652","4,3511355714","1,35E-05","0,0066437673"
PsCam047454,"121,6907725372","10,5552155861","3,6593345969","2,884463092","0,0039208171",NA
PsCam047475,"305,4168385594","7,4318687927","2,6393134456","2,815834097","0,0048650783","0,1687002206"
PsCam047481,"42031,4087230425","10,4562394372","2,8386813771","3,6834847058","0,0002300671","0,0222652747"
PsCam047560,"3539,268076036","15,4172709943","3,9637660709","3,889551179","0,0001004298","0,0149049617"
PsCam047596,"13269,7226721594","13,8812168559","3,3091166819","4,1948405542","2,73E-05","0,0089862482"
PsCam047677,"1989,1323473609","14,5859799866","3,9021866847","3,7378990718","0,0001855644","0,0189119688"
PsCam047702,"9300,5563529545","13,3684358868","3,2679355441","4,0907893397","4,30E-05","0,0097079014"
PsCam047711,"2780,6910173227","15,0692721964","3,9380486607","3,826583543","0,0001299341","0,0161771422"
PsCam047712,"913,249442499","13,4629481377","3,8194072513","3,524878928","0,0004236764","0,0333055909"
PsCam047727,"406,0150074373","12,2934975755","3,7388168538","3,2880716163","0,0010087617","0,0566702668"
PsCam047737,"4638,5181784365","11,3644156667","3,0121658139","3,7728386711","0,0001614007","0,0177872793"
PsCam047812,"6412,0801454663","16,2745901374","4,0264117313","4,0419587522","5,30E-05","0,0114278122"
PsCam047855,"1085,1441434963","6,1617856328","2,3530288711","2,6186612959","0,0088275548","0,249986041"
PsCam047910,"804,9482141405","9,8367018406","2,9658727868","3,3166297234","0,0009111028","0,0529935116"
PsCam047920,"2287,1041455361","14,7873578296","3,9171411927","3,7750382491","0,0001599831","0,0177734201"
PsCam047931,"5168,4985522902","11,5205505876","3,0279281705","3,8047635013","0,0001419397","0,017323847"
PsCam048001,"47551,732782734","12,7225043981","3,0663326052","4,1490947122","3,34E-05","0,0091526752"
PsCam048007,"5598,9128336521","16,0789495545","4,012224419","4,0074900791","6,14E-05","0,0120182145"
PsCam048008,"2863,7136939135","15,1117149493","3,9411915567","3,8343010564","0,0001259218","0,0160554902"
PsCam048020,"1357,9325458827","14,0352657867","3,8613511512","3,6348068946","0,0002781889","0,0248353704"
PsCam048026,"7469,8715198481","11,0517143642","2,9379273081","3,7617385337","0,0001687364","0,0181811526"
PsCam048151,"6370,0202878505","7,3544445627","2,4933787825","2,9495897752","0,0031819611","0,1250684481"
PsCam048560,"739,8166914973","6,2381928631","2,3765483806","2,6248962209","0,0086675381","0,247261415"
PsCam048600,"13578,8423592423","6,3501992793","2,3559383599","2,6954012836","0,0070303906","0,2156204889"
PsCam048622,"4486,8770615542","6,0865632557","2,3227759507","2,6203832762","0,0087830992","0,2498273891"
PsCam048743,"77,3361918928","9,9012202821","3,658406863","2,7064295069","0,006801102",NA
PsCam048753,"1195,2441858398","-7,0263796055","2,4815497473","-2,8314482162","0,0046337736","0,1634451879"
PsCam049213,"750882,349169838","8,141258778","2,5825658082","3,1523916069","0,0016193893","0,0804735914"
PsCam049311,"2743,1602183159","15,0496681297","3,9365964757","3,8230151915","0,0001318297","0,0163249055"
PsCam049348,"2989,7450430247","-7,894623304","2,5756371689","-3,0651146827","0,0021758655","0,0996356047"
PsCam049823,"3165,5859722605","6,1208418242","2,3302823204","2,6266524749","0,008622935","0,2467230593"
PsCam050034,"178,4934021465","-10,736632389","3,6381751807","-2,9511037417","0,0031664055","0,1246697727"
PsCam050258,"18529,353203354","6,6069281512","2,3906755457","2,7636239318","0,005716338","0,1882924405"
PsCam050603,"90852,6155897763","6,2059364015","2,3338954796","2,6590464122","0,0078362167","0,2302188517"
PsCam050669,"1237,7075414044","-6,905864876","2,4627284532","-2,8041519831","0,0050449118","0,1708022242"
PsCam050830,"28197,7423122683","7,7625762077","2,5389795257","3,0573606952","0,002232954","0,1012449285"
PsCam050890,"84,1599735304","10,0232093188","3,6566389187","2,7410990096","0,0061234053",NA
PsCam050968,"54121,6968262724","11,4495052046","2,9365349884","3,8989847727","9,66E-05","0,0147345378"
PsCam051176,"179,6306990861","-7,2940355017","2,7440003694","-2,6581758454","0,0078564888","0,230227109"
PsCam051195,"5110,2576034621","-10,547502374","2,9049205666","-3,6309090498","0,0002824247","0,0250195701"
PsCam051216,"4505,8853832921","6,9899470887","2,4480952281","2,8552594721","0,0043001681","0,1545175855"
PsCam051564,"127,4952872475","-10,2512158867","3,6216981529","-2,8304997971","0,0046475341",NA
PsCam051578,"1553,4735076258","-7,8242691954","2,5862545829","-3,0253283057","0,0024836337","0,1076681973"
PsCam051877,"664,734049373","-12,6334899603","3,7538360194","-3,3654879688","0,000764084","0,0474370529"
PsCam051921,"13570,848342057","12,9135267124","3,1473869557","4,1029358302","4,08E-05","0,0097079014"
PsCam051958,"289,7984485683","-6,9818539103","2,5849351764","-2,7009783355","0,0069135842","0,2126042514"
PsCam052107,"28909,632553894","7,9328644932","2,5596656435","3,0991799704","0,001940571","0,0931191089"
PsCam052287,"1037,7482313738","-6,3566354381","2,3871780787","-2,6628241499","0,0077487897","0,2298781349"
PsCam052289,"398,4171685102","7,2291594573","2,5719736549","2,8107439762","0,0049427099","0,1697355765"
PsCam052575,"4188,263875483","7,4018564348","2,5031105991","2,9570632786","0,0031058437","0,1229156329"
PsCam052654,"204,713449128","11,3055893569","3,6839989437","3,0688362103","0,0021489437","0,0989932419"
PsCam052685,"6529,625228194","6,332795974","2,3558568654","2,688107273","0,0071858308","0,2186410041"
PsCam052880,"1051,8743194273","-9,8514477371","2,9630357379","-3,3247819496","0,0008848771","0,0521262775"
PsCam052922,"479,9804817714","-7,1258916079","2,552541283","-2,7916851553","0,0052434349","0,175796267"
PsCam052925,"3678,8984954717","-15,1018369637","3,9391099895","-3,8338195694","0,0001261687","0,0160554902"
PsCam053154,"5028,1727622398","6,5352001875","2,3854700578","2,7395859219","0,0061516633","0,1974311615"
PsCam053281,"102,8755076411","-9,9416775099","3,6161538964","-2,7492407112","0,0059733502",NA
PsCam053372,"473,1155268737","12,5141524593","3,7531522928","3,3343044681","0,00085513","0,0505031001"
