Contigs/genes number,CA_2to10DPI_align_un.txt,CA_2to10DPI_align_mult.txt,CA_11to28DPI_align_un.txt,CA_11to28DPI_align_mult.txt,CA_root_align_un.txt,CA_root_align_mult.txt
CONTIG21893,0,0,9,11,0,0
CONTIG21894,0,0,0,0,1,1
CONTIG21895,0,0,1,1,0,0
CONTIG21896,0,0,0,0,0,0
CONTIG21897,1,1,12,12,3,3
CONTIG21898,1,1,1,1,0,0
CONTIG21899,0,0,2,2,0,0
CONTIG21900,2,2,5,5,1,1
CONTIG21901,8,8,15,15,18,18
CONTIG21902,0,0,0,0,1,1
CONTIG21903,0,0,1,1,3,3
CONTIG21904,0,0,1,1,0,0
CONTIG21905,0,0,0,0,0,0
CONTIG21906,0,0,2,2,0,0
CONTIG21907,0,0,0,0,0,0
CONTIG21908,1,1,1,1,0,0
CONTIG21909,0,0,1,1,0,0
CONTIG21910,0,0,0,0,0,0
CONTIG21911,0,0,1,1,0,0
CONTIG21912,0,0,2,2,0,0
CONTIG21913,4,4,10,10,0,0
CONTIG21914,0,0,0,0,0,0
CONTIG21915,0,0,1,1,0,0
CONTIG21916,0,0,0,0,0,0
CONTIG21917,3,3,2,2,6,6
CONTIG21918,0,0,0,0,0,0
CONTIG21919,7,7,8,8,1,1
CONTIG21920,0,0,0,0,0,0
CONTIG21921,0,0,0,0,0,0
CONTIG21922,0,0,0,0,0,0
CONTIG21923,4,4,8,8,0,0
CONTIG21924,26,26,41,43,27,27
CONTIG21925,2,2,16,16,0,0
CONTIG21926,0,0,0,0,0,0
CONTIG21927,0,0,1,1,0,0
CONTIG21928,5,5,41,41,21,21
CONTIG21929,0,0,1,1,0,0
CONTIG21930,0,0,0,0,0,0
CONTIG21931,0,0,0,0,0,0
CONTIG21932,0,0,0,0,1,1
CONTIG21933,1,1,1,1,1,1
CONTIG21934,3,3,4,4,2,2
CONTIG21935,5,5,11,11,15,15
CONTIG21936,2,2,0,0,0,0
CONTIG21937,0,0,0,0,0,0
CONTIG21938,2,2,2,2,1,1
CONTIG21939,5,5,8,8,2,2
CONTIG21940,4,4,2,2,1,1
CONTIG21941,5,5,10,10,6,6
CONTIG21942,0,0,0,0,0,0
CONTIG21943,0,0,0,0,0,0
CONTIG21944,2,2,0,0,0,0
CONTIG21945,0,0,0,0,1,1
CONTIG21946,3,3,1,1,2,2
CONTIG21947,0,0,0,0,0,0
CONTIG21948,0,0,0,0,0,0
CONTIG21949,0,0,1,1,0,0
CONTIG21950,0,0,0,0,0,0
CONTIG21951,0,0,0,0,1,1
CONTIG21952,5,5,6,6,1,1
CONTIG21953,1,1,2,2,0,0
CONTIG21954,5,5,2,2,3,3
CONTIG21955,0,0,0,0,0,0
CONTIG21956,1,1,5,5,1,1
CONTIG21957,4,4,1,1,0,0
CONTIG21958,8,8,8,8,2,2
CONTIG21959,0,0,0,0,2,2
CONTIG21960,0,0,0,0,0,0
CONTIG21961,0,0,1,1,0,0
CONTIG21962,0,0,0,0,0,0
CONTIG21963,0,0,0,0,0,0
CONTIG21964,1,1,0,0,0,0
CONTIG21965,0,0,1,1,0,0
CONTIG21966,7,7,3,3,4,4
CONTIG21967,3,3,2,2,1,1
CONTIG21968,0,0,0,0,1,1
CONTIG21969,0,0,0,0,0,0
CONTIG21970,2,2,0,0,1,1
CONTIG21971,0,0,1,1,0,0
CONTIG21972,1,1,6,6,0,0
CONTIG21973,0,0,0,0,0,0
CONTIG21974,0,0,0,0,0,0
CONTIG21975,0,0,0,0,0,0
CONTIG21976,0,0,0,0,0,0
CONTIG21977,1,1,1,1,2,2
CONTIG21978,1,1,1,1,4,4
CONTIG21979,4,4,0,0,5,5
CONTIG21980,6,6,0,0,1,1
CONTIG21981,0,0,0,0,0,0
CONTIG21982,0,0,0,0,0,0
CONTIG21983,0,0,0,0,0,0
CONTIG21984,3,3,1,1,2,2
CONTIG21985,5,5,5,5,1,1
CONTIG21986,0,0,0,0,0,0
CONTIG21987,0,0,6,6,0,0
CONTIG21988,2,2,2,2,7,7
CONTIG21989,0,0,1,1,1,1
CONTIG21990,0,0,1,1,0,0
CONTIG21991,0,0,0,0,0,0
CONTIG21992,2,2,3,3,1,1
CONTIG21993,0,0,0,0,0,0
CONTIG21994,0,0,1,1,0,0
CONTIG21995,1,1,1,1,0,0
CONTIG21996,8,8,15,15,7,7
CONTIG21997,3,3,0,0,4,4
CONTIG21998,3,3,0,0,2,2
CONTIG21999,0,0,0,0,1,1
CONTIG22000,0,0,0,0,0,0
CONTIG22001,7,7,10,10,3,3
CONTIG22002,8,8,2,2,3,3
CONTIG22003,3,3,14,14,6,6
CONTIG22004,0,0,0,0,1,1
CONTIG22005,0,0,0,0,0,0
CONTIG22006,1,1,0,0,0,0
CONTIG22007,0,0,0,0,0,0
CONTIG22008,0,0,0,0,0,0
CONTIG22009,1,1,1,1,0,0
CONTIG22010,1,1,1,1,0,0
CONTIG22011,0,0,1,1,0,0
CONTIG22012,0,0,0,0,0,0
CONTIG22013,0,0,1,1,1,1
CONTIG22014,0,0,0,0,1,1
CONTIG22015,0,0,146,146,0,0
CONTIG22016,0,0,0,0,0,0
CONTIG22017,1,1,0,0,0,0
CONTIG22018,0,0,0,0,0,0
CONTIG22019,0,0,0,0,0,0
CONTIG22020,4,4,3,3,0,0
CONTIG22021,11,11,11,11,16,16
CONTIG22022,0,0,0,0,0,0
CONTIG22023,1,1,0,0,2,2
CONTIG22024,0,0,0,0,1,1
CONTIG22025,0,0,0,0,0,0
CONTIG22026,0,0,0,0,1,1
CONTIG22027,0,0,5,5,0,0
CONTIG22028,1,1,15,17,0,0
CONTIG22029,2,2,27,27,2,4
CONTIG22030,0,0,0,0,0,0
CONTIG22031,0,0,12,14,0,0
CONTIG22032,4,4,11,13,2,2
CONTIG22033,0,0,0,0,0,0
CONTIG22034,0,0,1,1,0,0
CONTIG22035,0,0,0,0,0,0
CONTIG22036,0,0,3,3,2,2
CONTIG22037,0,0,0,0,1,1
CONTIG22038,0,0,0,0,0,0
CONTIG22039,0,0,0,0,0,0
CONTIG22040,0,0,0,0,1,1
CONTIG22041,0,0,0,0,0,0
CONTIG22042,0,0,0,0,0,0
CONTIG22043,5,5,0,0,5,5
CONTIG22044,0,0,1,1,0,0
CONTIG22045,2,2,0,0,3,3
CONTIG22046,1,1,0,0,0,0
CONTIG22047,0,0,0,0,0,0
CONTIG22048,0,0,0,0,0,0
CONTIG22049,0,0,1,1,0,0
CONTIG22050,0,0,0,0,0,0
CONTIG22051,0,0,0,0,0,0
CONTIG22052,0,0,0,0,0,0
CONTIG22053,0,0,0,0,0,0
CONTIG22054,1,1,1,1,0,0
CONTIG22055,2,2,15,15,6,6
CONTIG22056,6,6,49,49,7,7
CONTIG22057,5,5,9,9,11,11
CONTIG22058,0,0,2,2,0,0
CONTIG22059,19,21,29,31,6,6
CONTIG22060,0,0,2,2,0,0
CONTIG22061,2,2,1,1,0,0
CONTIG22062,0,0,0,0,0,0
CONTIG22063,1,1,0,0,0,0
CONTIG22064,2,2,5,5,0,0
CONTIG22065,0,0,0,0,0,0
CONTIG22066,1,1,0,0,0,0
CONTIG22067,0,0,0,0,0,0
CONTIG22068,0,0,0,0,0,0
CONTIG22069,0,0,0,0,1,1
CONTIG22070,0,0,4,4,1,1
CONTIG22071,0,0,0,0,0,0
CONTIG22072,0,0,0,0,0,0
CONTIG22073,22,22,44,46,30,30
CONTIG22074,1,1,2,2,1,1
CONTIG22075,0,0,0,0,0,0
CONTIG22076,5,5,0,0,8,8
CONTIG22077,0,0,0,0,0,0
CONTIG22078,0,0,0,0,1,1
CONTIG22079,1,1,2,2,0,0
CONTIG22080,1,1,0,0,0,0
CONTIG22081,0,0,0,0,0,0
CONTIG22082,0,0,0,0,0,0
CONTIG22083,0,0,0,0,0,0
CONTIG22084,0,0,0,0,1,1
CONTIG22085,0,0,1,1,3,3
CONTIG22086,6,6,18,18,7,7
CONTIG22087,0,0,1,1,1,1
CONTIG22088,1,1,0,0,0,0
CONTIG22089,0,0,0,0,0,0
CONTIG22090,2,2,1,1,1,1
CONTIG22091,0,0,1,1,0,0
CONTIG22092,0,0,1,1,0,0
CONTIG22093,1,1,2,2,1,1
CONTIG22094,0,0,0,0,0,0
CONTIG22095,9,9,25,25,2,2
CONTIG22096,0,0,0,0,0,0
CONTIG22097,0,0,1,1,0,0
CONTIG22098,0,0,1,1,0,0
CONTIG22099,1,1,4,4,1,1
CONTIG22100,1,1,0,0,0,0
CONTIG22101,1,1,0,0,0,0
CONTIG22102,0,0,1,1,0,0
CONTIG22103,2,2,5,5,2,2
CONTIG22104,0,0,2,2,0,0
CONTIG22105,1,1,12,12,3,3
CONTIG22106,0,0,0,0,0,0
CONTIG22107,0,0,0,0,0,0
CONTIG22108,0,0,0,0,0,0
CONTIG22109,0,0,0,0,0,0
CONTIG22110,1,1,0,0,0,0
CONTIG22111,0,0,1,1,0,0
CONTIG22112,1,1,1,1,0,0
CONTIG22113,0,0,0,0,0,0
CONTIG22114,0,0,0,0,0,0
CONTIG22115,0,0,0,0,0,0
CONTIG22116,3,3,4,4,0,0
CONTIG22117,0,0,8,8,0,0
CONTIG22118,0,0,1,1,0,0
CONTIG22119,0,2,1,1,0,0
CONTIG22120,0,0,1,1,0,0
CONTIG22121,1,1,0,0,0,4
CONTIG22122,4,4,0,0,0,0
CONTIG22123,0,0,0,0,0,0
CONTIG22124,0,0,2,2,0,0
CONTIG22125,0,0,0,0,0,0
CONTIG22126,0,0,0,0,0,0
CONTIG22127,2,2,1,1,0,0
CONTIG22128,0,0,0,0,0,0
CONTIG22129,0,0,0,0,0,0
CONTIG22130,0,0,0,0,0,0
CONTIG22131,2,2,0,0,1,1
CONTIG22132,0,0,0,0,0,0
CONTIG22133,0,0,0,0,0,0
CONTIG22134,1,1,0,0,0,0
CONTIG22135,2,2,1,1,1,1
CONTIG22136,0,0,0,0,2,2
CONTIG22137,0,0,0,0,1,1
CONTIG22138,0,0,0,0,0,0
CONTIG22139,6,6,0,0,2,6
CONTIG22140,0,0,0,0,0,0
CONTIG22141,0,0,0,0,0,0
CONTIG22142,12,12,14,14,11,11
CONTIG22143,0,0,0,0,0,0
CONTIG22144,0,0,0,0,0,0
CONTIG22145,0,0,0,0,0,0
CONTIG22146,0,0,0,0,0,0
CONTIG22147,0,0,0,0,0,0
CONTIG22148,0,0,1,1,0,0
CONTIG22149,1,1,1,1,0,0
CONTIG22150,0,0,0,0,0,0
CONTIG22151,1,1,2,2,0,0
CONTIG22152,0,0,2,2,2,2
CONTIG22153,1,1,1,1,2,2
CONTIG22154,0,0,3,3,0,0
CONTIG22155,0,0,0,0,0,0
CONTIG22156,0,0,3,3,0,0
CONTIG22157,7,7,1,1,0,0
CONTIG22158,0,0,0,0,0,0
CONTIG22159,0,0,0,0,0,0
CONTIG22160,1,1,1,1,1,1
CONTIG22161,0,0,2,2,0,0
CONTIG22162,0,0,3,3,4,4
CONTIG22163,0,0,1,1,0,0
CONTIG22164,0,0,0,0,0,0
CONTIG22165,0,0,0,2,0,0
CONTIG22166,0,0,0,0,0,0
CONTIG22167,2,2,1,1,1,1
CONTIG22168,1,1,0,0,0,0
CONTIG22169,3,3,0,0,0,0
CONTIG22170,0,0,0,0,0,0
CONTIG22171,1,1,0,0,0,0
CONTIG22172,0,0,0,0,1,1
CONTIG22173,2,2,0,0,0,0
CONTIG22174,1,1,1,1,0,0
CONTIG22175,0,0,0,0,0,0
CONTIG22176,3,3,10,10,2,2
CONTIG22177,1,1,0,0,0,0
CONTIG22178,0,0,1,1,0,0
CONTIG22179,1,1,5,5,0,0
CONTIG22180,0,0,0,0,1,1
CONTIG22181,0,0,1,1,0,0
CONTIG22182,0,0,0,0,0,0
CONTIG22183,0,0,0,0,0,0
CONTIG22184,0,0,2,2,1,1
CONTIG22185,0,0,1,1,0,0
CONTIG22186,1,1,0,0,0,0
CONTIG22187,0,0,0,0,0,0
CONTIG22188,0,0,0,0,1,1
CONTIG22189,2,2,0,0,0,0
CONTIG22190,0,0,4,4,0,0
CONTIG22191,2,2,5,5,5,5
CONTIG22192,0,0,0,0,0,0
CONTIG22193,0,0,1,1,0,0
CONTIG22194,0,0,0,0,0,0
CONTIG22195,0,0,0,0,0,0
CONTIG22196,0,0,0,0,0,0
CONTIG22197,0,0,0,0,1,1
CONTIG22198,1,1,0,0,0,0
CONTIG22199,3,3,12,12,3,3
CONTIG22200,8,10,7,7,10,10
CONTIG22201,14,14,11,11,8,8
CONTIG22202,11,11,7,7,9,9
CONTIG22203,0,0,2,2,0,0
CONTIG22204,0,0,0,0,0,0
CONTIG22205,0,0,0,0,1,1
CONTIG22206,1,1,10,10,1,1
CONTIG22207,0,0,0,0,0,0
CONTIG22208,0,0,1,1,0,0
CONTIG22209,0,0,1,1,0,0
CONTIG22210,0,0,7,7,2,2
CONTIG22211,2,2,0,0,1,1
CONTIG22212,0,0,0,0,1,1
CONTIG22213,0,0,0,0,0,0
CONTIG22214,1,1,0,0,0,0
CONTIG22215,4,4,2,2,0,0
CONTIG22216,0,0,0,0,1,1
CONTIG22217,7,7,13,13,25,25
CONTIG22218,1,1,0,0,2,2
CONTIG22219,1,1,0,0,0,0
CONTIG22220,0,0,0,0,0,0
CONTIG22221,0,0,0,0,0,0
CONTIG22222,0,0,0,0,0,0
CONTIG22223,0,0,0,0,0,0
CONTIG22224,2,2,0,0,0,0
CONTIG22225,47,47,34,36,31,31
CONTIG22226,20,20,37,37,36,38
CONTIG22227,0,0,3,3,0,0
CONTIG22228,0,0,5,5,0,0
CONTIG22229,0,0,0,0,0,0
CONTIG22230,0,0,0,0,0,0
CONTIG22231,0,0,0,0,0,0
CONTIG22232,1,1,0,0,2,2
CONTIG22233,0,0,0,0,0,0
CONTIG22234,0,0,0,0,0,0
CONTIG22235,0,0,0,0,0,0
CONTIG22236,6,6,1,1,3,3
CONTIG22237,0,0,0,0,0,0
CONTIG22238,0,0,0,0,0,0
CONTIG22239,11,11,2,2,4,4
CONTIG22240,0,0,0,0,0,0
CONTIG22241,4,4,1,1,4,4
CONTIG22242,3,3,5,5,3,3
CONTIG22243,0,0,0,0,0,0
CONTIG22244,0,0,1,1,0,0
CONTIG22245,0,0,0,0,0,0
CONTIG22246,0,0,0,0,0,0
CONTIG22247,0,0,0,0,0,0
CONTIG22248,0,0,0,0,0,0
CONTIG22249,0,0,0,0,1,1
CONTIG22250,0,0,1,1,0,0
CONTIG22251,3,3,0,0,5,7
CONTIG22252,0,0,2,2,1,1
CONTIG22253,1,1,0,0,0,0
CONTIG22254,1,1,0,0,0,0
CONTIG22255,0,0,3,3,1,1
CONTIG22256,1,1,0,0,1,1
CONTIG22257,0,0,0,0,1,1
CONTIG22258,5,5,4,4,3,3
CONTIG22259,2,2,0,0,1,1
CONTIG22260,0,0,0,0,0,0
CONTIG22261,19,21,48,48,11,11
CONTIG22262,1,1,1,1,0,0
CONTIG22263,8,8,6,6,3,3
CONTIG22264,0,0,2,2,0,0
CONTIG22265,0,0,0,0,0,0
CONTIG22266,0,0,1,1,0,0
CONTIG22267,1,1,1,1,1,1
CONTIG22268,0,0,0,0,0,0
CONTIG22269,8,8,11,11,2,2
CONTIG22270,0,0,0,0,0,0
CONTIG22271,0,0,1,1,0,0
CONTIG22272,0,0,1,1,0,0
CONTIG22273,0,0,12,12,0,0
CONTIG22274,0,0,1,1,0,0
CONTIG22275,9,9,42,42,14,18
CONTIG22276,3,3,10,10,4,4
CONTIG22277,1,1,4,4,1,1
CONTIG22278,15,15,15,15,5,5
CONTIG22279,3,3,2,2,0,0
CONTIG22280,0,0,0,0,0,0
CONTIG22281,0,0,0,0,0,0
CONTIG22282,0,0,1,1,0,0
CONTIG22283,0,0,0,0,1,1
CONTIG22284,0,0,1,1,0,0
CONTIG22285,1,1,0,0,0,0
CONTIG22286,1,1,2,2,0,0
CONTIG22287,4,4,6,6,4,4
CONTIG22288,2,2,1,1,1,1
CONTIG22289,1,1,1,1,0,0
CONTIG22290,0,0,0,0,0,0
CONTIG22291,0,0,0,0,0,0
CONTIG22292,0,0,0,0,0,0
CONTIG22293,0,0,0,0,1,1
CONTIG22294,0,0,6,6,2,2
CONTIG22295,9,9,4,4,1,1
CONTIG22296,0,0,0,0,0,0
CONTIG22297,15,15,18,18,3,3
CONTIG22298,0,0,0,0,0,0
CONTIG22299,0,0,0,0,0,0
CONTIG22300,1,1,0,0,0,0
CONTIG22301,0,0,0,0,1,1
CONTIG22302,0,0,0,0,1,1
CONTIG22303,1,1,0,0,0,0
CONTIG22304,1,1,0,0,4,4
CONTIG22305,0,0,0,0,0,0
CONTIG22306,8,8,5,5,3,3
CONTIG22307,4,4,4,4,3,3
CONTIG22308,0,0,0,0,0,0
CONTIG22309,9,9,14,14,5,5
CONTIG22310,1,1,2,2,0,0
CONTIG22311,0,0,0,0,0,0
CONTIG22312,0,0,0,0,0,0
CONTIG22313,0,0,0,0,1,1
CONTIG22314,9,9,10,10,3,3
CONTIG22315,0,0,0,0,0,0
CONTIG22316,0,0,0,0,0,0
CONTIG22317,16,16,8,8,6,6
CONTIG22318,2,2,0,0,2,2
CONTIG22319,1,1,13,13,0,0
CONTIG22320,0,0,5,5,2,2
CONTIG22321,0,0,0,0,0,0
CONTIG22322,0,0,2,2,1,1
CONTIG22323,0,0,1,1,0,0
CONTIG22324,3,3,0,0,4,4
CONTIG22325,0,0,0,0,0,0
CONTIG22326,0,0,0,0,0,0
CONTIG22327,0,0,0,0,0,0
CONTIG22328,3,3,2,2,5,5
CONTIG22329,19,19,5,5,12,12
CONTIG22330,26,26,26,28,26,26
CONTIG22331,0,0,0,0,2,2
CONTIG22332,0,0,1,1,0,0
CONTIG22333,0,0,0,0,0,0
CONTIG22334,0,0,3,3,5,5
CONTIG22335,0,0,1,1,0,0
CONTIG22336,1,1,0,0,0,0
CONTIG22337,0,0,0,0,1,1
CONTIG22338,0,0,0,0,0,0
CONTIG22339,0,0,0,0,0,0
CONTIG22340,0,0,0,0,1,1
CONTIG22341,0,0,1,1,0,0
CONTIG22342,0,0,1,1,0,0
CONTIG22343,0,0,0,0,0,0
CONTIG22344,1,1,0,0,1,1
CONTIG22345,0,0,0,0,0,0
CONTIG22346,0,0,0,0,0,0
CONTIG22347,0,0,0,0,0,0
CONTIG22348,0,0,0,0,0,0
CONTIG22349,1,1,0,0,2,2
CONTIG22350,0,0,0,0,0,0
CONTIG22351,1,1,0,0,0,0
CONTIG22352,0,0,0,0,1,1
CONTIG22353,1,1,0,0,0,0
CONTIG22354,0,0,0,0,0,0
CONTIG22355,0,0,0,0,0,0
CONTIG22356,20,20,17,17,17,17
CONTIG22357,0,0,0,0,0,0
CONTIG22358,0,0,0,0,0,0
CONTIG22359,2,2,0,0,0,0
CONTIG22360,1,1,0,0,2,2
CONTIG22361,0,0,0,0,0,0
CONTIG22362,0,0,0,0,0,0
CONTIG22363,0,0,1,1,0,0
CONTIG22364,0,0,0,0,0,0
CONTIG22365,0,0,0,0,0,0
CONTIG22366,1,1,1,1,0,0
CONTIG22367,0,0,2,2,1,1
CONTIG22368,0,0,0,0,0,0
CONTIG22369,0,0,0,0,0,0
CONTIG22370,0,0,0,0,0,0
CONTIG22371,2,2,3,3,0,0
CONTIG22372,4,4,5,5,2,2
CONTIG22373,24,24,47,47,24,24
CONTIG22374,5,5,3,3,1,1
CONTIG22375,6,6,12,12,7,7
CONTIG22376,0,0,0,0,1,1
CONTIG22377,2,2,0,0,4,4
CONTIG22378,1,1,3,3,4,4
CONTIG22379,2,2,0,0,0,0
CONTIG22380,0,0,0,0,0,0
CONTIG22381,0,0,0,0,0,0
CONTIG22382,0,0,0,0,0,0
CONTIG22383,0,0,0,0,0,0
CONTIG22384,0,0,0,0,1,1
CONTIG22385,0,0,0,0,0,0
CONTIG22386,0,0,0,0,0,0
CONTIG22387,0,0,0,0,0,0
CONTIG22388,1,1,0,0,1,1
CONTIG22389,6,6,13,13,3,3
CONTIG22390,0,0,0,0,0,0
CONTIG22391,0,0,0,0,0,0
CONTIG22392,0,0,0,0,0,0
CONTIG22393,0,0,0,0,0,0
CONTIG22394,0,0,0,0,0,0
CONTIG22395,1,3,3,5,4,4
CONTIG22396,0,0,2,2,0,0
CONTIG22397,4,4,9,9,6,6
CONTIG22398,1,1,3,3,0,0
CONTIG22399,0,0,0,0,1,1
CONTIG22400,0,0,0,0,0,0
CONTIG22401,0,0,0,0,0,0
CONTIG22402,0,0,0,0,0,0
CONTIG22403,0,0,0,0,3,3
CONTIG22404,1,1,2,2,0,0
CONTIG22405,0,0,0,0,1,1
CONTIG22406,0,0,1,1,0,0
CONTIG22407,1,1,0,0,1,1
CONTIG22408,0,0,1,1,0,0
CONTIG22409,0,0,3,3,0,0
CONTIG22410,1,1,3,3,0,0
CONTIG22411,0,0,2,2,0,0
CONTIG22412,0,0,0,0,0,0
CONTIG22413,0,0,0,0,0,0
CONTIG22414,0,0,1,1,0,0
CONTIG22415,1,1,0,0,0,0
CONTIG22416,0,0,0,0,0,0
CONTIG22417,0,0,0,0,0,0
CONTIG22418,1,1,0,0,1,1
CONTIG22419,0,0,1,1,0,0
CONTIG22420,0,0,0,0,0,0
CONTIG22421,2,2,3,3,2,2
CONTIG22422,2,2,11,11,1,1
CONTIG22423,4,4,6,6,6,6
CONTIG22424,2,2,4,4,3,3
CONTIG22425,19,19,14,14,12,12
CONTIG22426,0,0,5,5,0,0
CONTIG22427,0,0,1,1,0,0
CONTIG22428,0,0,0,0,0,0
CONTIG22429,0,0,0,0,0,0
CONTIG22430,0,0,0,0,0,0
CONTIG22431,0,0,0,0,0,0
CONTIG22432,0,0,1,1,0,0
CONTIG22433,0,0,0,0,0,0
CONTIG22434,0,0,0,0,0,0
CONTIG22435,0,0,0,0,0,0
CONTIG22436,0,0,0,0,0,0
CONTIG22437,4,4,12,12,3,3
CONTIG22438,7,9,10,10,12,12
CONTIG22439,7,7,14,14,9,9
CONTIG22440,2,2,2,2,2,2
CONTIG22441,0,0,0,0,0,0
CONTIG22442,4,4,5,5,1,1
CONTIG22443,0,0,0,0,0,0
CONTIG22444,0,0,0,0,0,0
CONTIG22445,0,0,0,0,0,0
CONTIG22446,0,0,1,1,0,0
CONTIG22447,0,0,1,1,0,0
CONTIG22448,0,0,0,0,0,0
CONTIG22449,0,0,0,0,0,0
CONTIG22450,0,0,1,1,0,0
CONTIG22451,1,1,4,4,4,4
CONTIG22452,0,0,1,1,0,0
CONTIG22453,0,0,2,2,1,1
CONTIG22454,0,0,0,0,0,0
CONTIG22455,0,0,0,0,1,1
CONTIG22456,0,0,1,1,0,0
CONTIG22457,6,6,5,5,8,8
CONTIG22458,0,0,0,0,0,0
CONTIG22459,2,2,0,0,0,0
CONTIG22460,0,0,0,0,0,0
CONTIG22461,0,0,3,3,1,1
CONTIG22462,1,1,0,0,0,0
CONTIG22463,0,0,0,0,0,0
CONTIG22464,1,1,0,0,0,0
CONTIG22465,0,0,0,0,1,1
CONTIG22466,0,0,1,1,0,0
CONTIG22467,0,0,2,2,0,0
CONTIG22468,0,0,0,0,0,0
CONTIG22469,3,3,4,4,0,0
CONTIG22470,0,0,0,0,0,0
CONTIG22471,0,0,0,0,0,0
CONTIG22472,0,0,0,0,0,0
CONTIG22473,0,0,0,0,0,0
CONTIG22474,0,0,0,0,0,0
CONTIG22475,0,0,0,0,0,0
CONTIG22476,15,15,20,20,11,11
CONTIG22477,1,1,2,2,0,0
CONTIG22478,0,0,0,0,0,0
CONTIG22479,0,0,0,0,0,0
CONTIG22480,0,0,0,0,0,0
CONTIG22481,0,0,0,0,0,0
CONTIG22482,0,0,1,1,0,0
CONTIG22483,0,0,1,1,0,0
CONTIG22484,0,0,0,0,0,0
CONTIG22485,0,0,0,0,0,0
CONTIG22486,0,0,0,0,0,0
CONTIG22487,0,0,0,0,0,0
CONTIG22488,0,0,0,0,0,0
CONTIG22489,0,0,0,0,1,1
CONTIG22490,0,0,0,0,0,0
CONTIG22491,8,8,8,8,1,1
CONTIG22492,14,14,28,28,8,8
CONTIG22493,0,0,0,0,0,0
CONTIG22494,0,0,0,0,0,0
CONTIG22495,0,0,0,0,0,0
CONTIG22496,0,0,0,0,0,0
CONTIG22497,4,4,2,2,3,3
CONTIG22498,5,5,4,4,1,1
CONTIG22499,2,2,0,0,1,1
CONTIG22500,0,0,0,0,1,1
CONTIG22501,0,0,0,0,0,0
CONTIG22502,0,0,0,0,1,1
CONTIG22503,0,0,0,0,0,0
CONTIG22504,0,0,1,1,0,0
CONTIG22505,0,0,0,0,0,0
CONTIG22506,0,0,0,0,0,0
CONTIG22507,0,0,0,0,0,0
CONTIG22508,0,0,0,0,0,0
CONTIG22509,1,1,4,4,4,6
CONTIG22510,1,1,2,2,0,0
CONTIG22511,5,5,4,4,0,0
CONTIG22512,0,0,0,0,0,0
CONTIG22513,1,1,0,0,0,0
CONTIG22514,2,2,12,12,5,5
CONTIG22515,0,0,0,0,1,1
CONTIG22516,0,0,0,0,0,0
CONTIG22517,1,1,1,1,1,1
CONTIG22518,0,0,0,0,0,0
CONTIG22519,1,1,2,2,1,1
CONTIG22520,6,6,8,8,0,0
CONTIG22521,0,0,0,0,0,0
CONTIG22522,0,0,1,1,0,0
CONTIG22523,0,0,0,0,0,0
CONTIG22524,0,0,1,1,0,0
CONTIG22525,2,2,4,4,5,5
CONTIG22526,11,11,8,8,8,8
CONTIG22527,0,0,0,0,0,0
CONTIG22528,0,0,1,1,0,0
CONTIG22529,0,0,0,0,0,0
CONTIG22530,0,0,0,0,0,0
CONTIG22531,0,0,0,0,0,0
CONTIG22532,0,0,0,0,0,0
CONTIG22533,0,0,0,0,0,0
CONTIG22534,0,0,0,0,0,0
CONTIG22535,0,0,0,0,0,0
CONTIG22536,0,0,0,0,0,0
CONTIG22537,2,2,1,1,0,0
CONTIG22538,0,0,0,0,0,0
CONTIG22539,0,0,0,0,0,0
CONTIG22540,0,0,1,1,0,0
CONTIG22541,0,0,0,0,0,0
CONTIG22542,0,0,0,0,0,0
CONTIG22543,0,0,0,0,0,0
CONTIG22544,0,0,4,4,2,2
CONTIG22545,0,0,0,0,0,0
CONTIG22546,0,0,0,0,0,0
CONTIG22547,0,0,0,0,0,0
CONTIG22548,0,0,0,0,1,1
CONTIG22549,1,1,1,1,0,0
CONTIG22550,1,1,1,1,0,0
CONTIG22551,0,0,0,0,0,0
CONTIG22552,0,0,0,0,0,0
CONTIG22553,0,0,1,1,0,0
CONTIG22554,0,0,1,1,0,0
CONTIG22555,0,0,6,6,0,0
CONTIG22556,0,0,24,24,0,0
CONTIG22557,0,0,1,1,0,0
CONTIG22558,0,0,14,16,0,0
CONTIG22559,1,1,0,0,0,0
CONTIG22560,0,0,0,0,0,0
CONTIG22561,0,0,0,0,0,0
CONTIG22562,2,2,1,1,0,0
CONTIG22563,0,0,0,0,0,0
CONTIG22564,0,0,0,0,0,0
CONTIG22565,0,0,0,0,0,0
CONTIG22566,3,3,1,1,2,2
CONTIG22567,0,0,1,1,0,0
CONTIG22568,0,0,0,0,0,0
CONTIG22569,0,0,0,0,0,0
CONTIG22570,0,0,0,0,0,0
CONTIG22571,0,0,0,0,0,0
CONTIG22572,1,1,1,1,0,0
CONTIG22573,0,0,0,0,0,0
CONTIG22574,0,0,1,1,0,0
CONTIG22575,0,0,0,0,0,0
CONTIG22576,0,0,0,0,0,0
CONTIG22577,0,0,0,0,0,0
CONTIG22578,3,3,3,3,3,3
CONTIG22579,0,0,0,0,0,0
CONTIG22580,0,0,0,0,1,1
CONTIG22581,0,0,3,3,0,0
CONTIG22582,1,1,4,4,0,0
CONTIG22583,0,0,1,1,1,1
CONTIG22584,0,0,0,0,0,0
CONTIG22585,1,3,1,1,0,0
CONTIG22586,3,3,1,1,1,1
