,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g027200,"71,0073030395","-1,7624303425","0,4038228098","-4,3643655077","1,27E-05","3,63E-05"
gene:MTR_1g027310,"13,4910355172","2,2996932894","0,8019650486","2,8675729614","0,0041363342","0,0082857394"
gene:MTR_1g027370,"641,0777942489","0,6739072664","0,2071696642","3,2529244525","0,0011422386","0,002513267"
gene:MTR_1g027410,"18,4940392152","2,3377687702","0,6705504269","3,4863429751","0,0004896728","0,0011379119"
gene:MTR_1g027440,"382,6193391664","2,9792581155","0,2723455811","10,939256305","7,48E-28","7,87E-27"
gene:MTR_1g027450,"177,0708786952","3,9915954614","0,3371454783","11,839386018","2,44E-32","2,98E-31"
gene:MTR_1g027460,"417,1933458661","3,5791463506","0,2378925167","15,045224625","3,71E-51","7,54E-50"
gene:MTR_1g027500,"62,7968140361","6,4107628049","0,878711826","7,2956373353","2,97E-13","1,55E-12"
gene:MTR_1g027520,"33,6427131486","3,8329234532","0,6304049324","6,0800974998","1,20E-09","4,91E-09"
gene:MTR_1g027540,"56,9534805991","3,1232984489","0,4533086786","6,8900036475","5,58E-12","2,68E-11"
gene:MTR_1g027570,"16,5337447362","5,3241288082","1,1702908313","4,5494065796","5,38E-06","1,59E-05"
