,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g027450,"258,2408927122","1,9176394893","0,5213670608","3,6780986634","0,0002349791","0,00060679"
gene:MTR_1g027460,"91,2205951828","2,7541712283","0,5694044673","4,8369329471","1,32E-06","4,53E-06"
gene:MTR_1g027470,"5,9129431431","5,4565562111","1,6397111307","3,3277545715","0,0008754896","0,0020799611"
gene:MTR_1g027500,"46,8657517851","3,3476626796","0,5738779118","5,8334056962","5,43E-09","2,37E-08"
gene:MTR_1g027520,"55,3949768478","3,5451312497","0,4388035909","8,0790844081","6,53E-16","4,87E-15"
gene:MTR_1g027540,"66,6204816808","3,4193848881","0,6054540626","5,6476372025","1,63E-08","6,77E-08"
gene:MTR_1g027570,"38,4055377883","4,6802636263","0,5783829851","8,0919801358","5,87E-16","4,40E-15"
gene:MTR_1g027580,"104,5545005824","3,2279257515","0,6347466231","5,0853768012","3,67E-07","1,34E-06"
gene:MTR_1g027600,"19,6963181034","2,4360619861","0,6626405271","3,6762948938","0,000236646","0,0006108422"
gene:MTR_1g027640,"3175,131867562","-1,144185709","0,2607098494","-4,3887321918","1,14E-05","3,51E-05"
gene:MTR_1g027660,"141,6654641086","-2,2064354095","0,5471250083","-4,0327811308","5,51E-05","0,0001548"
gene:MTR_1g027740,"102,8960894144","6,4519615941","0,6095347465","10,5850595582","3,50E-26","4,90E-25"
gene:MTR_1g027750,"3808,591335349","10,971253277","0,4011429376","27,3499848777","1,08E-164","2,50E-162"
gene:MTR_1g027820,"9,0763921571","-3,396166314","1,0320964555","-3,290551281","0,0009999127","0,0023588981"
gene:MTR_1g027830,"52,7272876466","1,7424836535","0,5407966865","3,2220679178","0,0012726896","0,0029490231"
gene:MTR_1g028170,"7,8394244864","2,6939834639","0,8401846915","3,2064181733","0,0013439852","0,0031009019"
gene:MTR_1g028240,"8,2576018414","4,7419282703","1,2146608176","3,9039114472","9,47E-05","0,0002576037"
gene:MTR_1g028250,"59,0564829235","3,3185489836","0,5420856392","6,1218168192","9,25E-10","4,30E-09"
gene:MTR_1g028280,"721,605399833","-5,0020756816","0,3082559692","-16,2270196905","3,25E-59","1,49E-57"
gene:MTR_1g028290,"1018,3052844418","-5,0436695443","0,372673913","-13,533733832","9,89E-42","2,74E-40"
