Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:PHAVU_001G012900g,2257,1841,2260,1852
gene:PHAVU_001G013000g,1021,1413,1603,2116
gene:PHAVU_001G013100g,221,459,222,460
gene:PHAVU_001G013200g,72,316,74,325
gene:PHAVU_001G013300g,20,269,76,588
gene:PHAVU_001G013400g,5,34,61,351
gene:PHAVU_001G013500g,12,101,14,104
gene:PHAVU_001G013600g,41,404,41,406
gene:PHAVU_001G013700g,1660,1263,1669,1274
gene:PHAVU_001G013800g,30,83,31,84
gene:PHAVU_001G013900g,28,73,28,79
gene:PHAVU_001G014000g,497,2149,500,2159
gene:PHAVU_001G014100g,346,1200,349,1204
gene:PHAVU_001G014200g,161,279,161,279
gene:PHAVU_001G014300g,0,1,0,1
gene:PHAVU_001G014400g,1101,2547,1106,2559
gene:PHAVU_001G014500g,802,794,816,803
gene:PHAVU_001G014600g,371,97,371,97
gene:PHAVU_001G014700g,133,462,133,462
gene:PHAVU_001G014800g,117,264,117,264
gene:PHAVU_001G014900g,723,1257,723,1257
gene:PHAVU_001G015000g,496,0,498,0
gene:PHAVU_001G015100g,1067,1052,1069,1054
gene:PHAVU_001G0152001g,1,0,1,0
gene:PHAVU_001G0152000g,3,1,6,1
gene:PHAVU_001G015300g,3040,3282,3041,3292
gene:PHAVU_001G015400g,147,268,147,268
gene:PHAVU_001G015500g,92,72,92,72
gene:PHAVU_001G015600g,129,134,129,135
gene:PHAVU_001G015700g,109,219,109,225
gene:PHAVU_001G015800g,474,1147,479,1149
gene:PHAVU_001G015900g,686,575,686,575
gene:PHAVU_001G016000g,361,200,362,201
gene:PHAVU_001G016100g,1316,994,1320,997
gene:PHAVU_001G016200g,93,58,95,60
gene:PHAVU_001G016300g,14,10,14,10
gene:PHAVU_001G016400g,62,14,62,14
gene:PHAVU_001G016500g,808,1225,828,1248
gene:PHAVU_001G016600g,0,0,1,1
gene:PHAVU_001G016700g,5,7,8,9
gene:PHAVU_001G016800g,171,213,171,213
gene:PHAVU_001G016900g,146,171,152,174
gene:PHAVU_001G017000g,35,85,35,85
gene:PHAVU_001G017100g,510,1126,516,1131
gene:PHAVU_001G017200g,0,2,0,2
gene:PHAVU_001G017300g,87,78,91,78
gene:PHAVU_001G017400g,2,0,2,0
gene:PHAVU_001G017500g,175,122,176,122
gene:PHAVU_001G017600g,334,291,334,291
gene:PHAVU_001G017700g,1155,965,1172,976
gene:PHAVU_001G017800g,5427,8878,5454,8912
gene:PHAVU_001G017900g,59,112,59,115
gene:PHAVU_001G018000g,77,166,77,164
gene:PHAVU_001G018100g,23,74,23,73
gene:PHAVU_001G018200g,47,28,47,28
gene:PHAVU_001G018300g,111,138,112,140
gene:PHAVU_001G018400g,0,1,0,1
gene:PHAVU_001G018500g,747,365,749,365
gene:PHAVU_001G018600g,270,167,271,168
gene:PHAVU_001G018700g,466,749,473,755
gene:PHAVU_001G018800g,911,2053,915,2058
gene:PHAVU_001G018900g,67,217,69,222
gene:PHAVU_001G019000g,163,67,163,67
gene:PHAVU_001G019100g,61,233,61,233
gene:PHAVU_001G019200g,5,6,5,6
gene:PHAVU_001G019300g,2152,3991,2155,3998
gene:PHAVU_001G019400g,25,187,25,187
gene:PHAVU_001G019500g,2568,85,2627,86
gene:PHAVU_001G019600g,1682,1190,1732,1247
gene:PHAVU_001G019700g,0,4,0,4
gene:PHAVU_001G019800g,1482,2607,1503,2638
gene:PHAVU_001G019900g,133,66,134,66
gene:PHAVU_001G020000g,531,602,537,621
gene:PHAVU_001G020100g,281,2541,286,2578
gene:PHAVU_001G020200g,260,1068,264,1116
gene:PHAVU_001G020300g,130,143,178,189
gene:PHAVU_001G020400g,1288,1355,1367,1443
gene:PHAVU_001G020500g,5,17,5,17
gene:PHAVU_001G020600g,2868,2478,2878,2482
gene:PHAVU_001G020700g,0,2,26,29
gene:PHAVU_001G020800g,86,45,86,45
gene:PHAVU_001G020900g,247,262,252,271
gene:PHAVU_001G021000g,69,76,70,79
gene:PHAVU_001G021100g,147,174,147,175
gene:PHAVU_001G021200g,387,958,389,962
gene:PHAVU_001G021300g,17,32,17,32
gene:PHAVU_001G021400g,278,145,278,147
gene:PHAVU_001G021500g,1,29,1,29
gene:PHAVU_001G021600g,1,6,1,15
gene:PHAVU_001G021700g,5,42,6,55
gene:PHAVU_001G021800g,49,354,52,363
gene:ENSRNA049761538,0,1,0,1
gene:PHAVU_001G021900g,168,277,177,289
gene:PHAVU_001G022000g,1289,806,1292,809
gene:PHAVU_001G022100g,0,8,1,8
gene:PHAVU_001G022200g,78,46,80,47
gene:PHAVU_001G022300g,1315,3284,1328,3295
gene:PHAVU_001G022400g,2,24,2,25
gene:PHAVU_001G022500g,422,266,422,268
gene:PHAVU_001G022600g,299,133,299,134
gene:PHAVU_001G022700g,37,290,39,291
gene:PHAVU_001G022800g,32,64,32,64
gene:PHAVU_001G022900g,3,15,3,30
gene:PHAVU_001G023000g,37,27,37,27
gene:PHAVU_001G023100g,311,321,318,329
gene:PHAVU_001G023200g,0,4,0,4
gene:PHAVU_001G023300g,1252,1949,1271,1964
gene:PHAVU_001G023400g,662,346,662,346
gene:PHAVU_001G023500g,4196,3212,4222,3227
gene:PHAVU_001G023600g,5,8,5,8
gene:PHAVU_001G023700g,408,1260,411,1265
gene:PHAVU_001G023800g,211,192,212,192
gene:PHAVU_001G023900g,251,213,252,216
gene:PHAVU_001G024000g,30,82,34,112
gene:PHAVU_001G024100g,820,1002,832,1006
gene:PHAVU_001G024200g,308,567,323,594
gene:PHAVU_001G024300g,99,69,99,71
gene:PHAVU_001G024400g,64,14,64,14
gene:PHAVU_001G024500g,9609,16397,9649,16479
gene:PHAVU_001G024600g,577,660,583,660
gene:PHAVU_001G024700g,1593,1725,1604,1746
gene:PHAVU_001G024800g,124,101,124,101
gene:PHAVU_001G024900g,35,133,44,134
gene:PHAVU_001G025000g,6303,7319,6420,7492
gene:PHAVU_001G025100g,121,248,122,247
gene:PHAVU_001G025200g,2532,3045,2533,3048
gene:PHAVU_001G025300g,12,110,12,110
gene:PHAVU_001G025400g,320,407,379,482
gene:PHAVU_001G025500g,125,11,126,11
gene:PHAVU_001G025600g,63,100,66,104
gene:PHAVU_001G025700g,131,135,134,140
gene:PHAVU_001G025800g,2,1,2,1
gene:PHAVU_001G025900g,311,425,314,429
gene:PHAVU_001G026000g,816,865,818,874
gene:PHAVU_001G026100g,307,1858,312,1875
gene:PHAVU_001G026200g,1077,2468,1079,2470
gene:PHAVU_001G026300g,1081,969,1093,974
gene:PHAVU_001G026400g,0,0,0,0
gene:PHAVU_001G026500g,8,10,12,15
gene:PHAVU_001G026600g,441,400,441,401
gene:PHAVU_001G026700g,2847,3930,2861,3957
gene:PHAVU_001G026800g,0,3,0,3
gene:PHAVU_001G026900g,523,529,525,531
