Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:PHAVU_002G042700g,4,1,4,1
gene:PHAVU_002G042800g,14,36,14,36
gene:PHAVU_002G042900g,2812,11541,2940,11964
gene:PHAVU_002G043000g,564,4281,758,4765
gene:PHAVU_002G043100g,2261,1635,2552,2154
gene:PHAVU_002G043200g,183,206,187,206
gene:PHAVU_002G043300g,128,127,129,127
gene:PHAVU_002G043400g,238,153,238,153
gene:PHAVU_002G043500g,32,35,32,35
gene:PHAVU_002G043600g,147,409,150,411
gene:PHAVU_002G043700g,434,77,441,80
gene:PHAVU_002G043800g,990,2192,993,2200
gene:PHAVU_002G043900g,16,19,19,19
gene:PHAVU_002G044000g,180,138,182,140
gene:PHAVU_002G044100g,149,925,149,927
gene:PHAVU_002G044200g,5617,8064,5647,8092
gene:PHAVU_002G044300g,1,1,1,1
gene:PHAVU_002G044400g,2,0,2,5
gene:PHAVU_002G044500g,37,26,37,26
gene:PHAVU_002G044600g,251,233,253,240
gene:PHAVU_002G044700g,94,94,94,94
gene:PHAVU_002G044800g,0,8,0,8
gene:PHAVU_002G044900g,0,0,0,0
gene:PHAVU_002G045000g,22,20,26,20
gene:PHAVU_002G045100g,50,48,52,54
gene:PHAVU_002G045200g,2479,2889,2534,2943
gene:PHAVU_002G045300g,900,955,903,959
gene:PHAVU_002G045400g,15,10,15,10
gene:PHAVU_002G045500g,28,12,28,12
gene:PHAVU_002G045600g,1514,1540,1549,1588
gene:PHAVU_002G045700g,1640,2616,1676,2668
gene:PHAVU_002G045800g,787,608,795,612
gene:PHAVU_002G045900g,1,17,1,17
gene:PHAVU_002G046000g,0,0,0,0
gene:PHAVU_002G046100g,0,1,0,3
gene:PHAVU_002G046200g,37,116,283,768
gene:PHAVU_002G046300g,0,0,0,0
gene:PHAVU_002G046400g,1,5,1,5
gene:PHAVU_002G046500g,9,33,9,33
gene:PHAVU_002G046600g,0,1,0,1
gene:PHAVU_002G046700g,429,550,432,554
gene:PHAVU_002G046800g,1357,14008,1441,14249
gene:PHAVU_002G046900g,15,189,15,192
gene:PHAVU_002G0470001g,294,167,301,178
gene:PHAVU_002G0470000g,589,295,594,298
gene:PHAVU_002G047100g,108,83,108,83
gene:PHAVU_002G047200g,81,628,82,629
gene:PHAVU_002G047300g,0,0,0,0
gene:PHAVU_002G047400g,990,1045,1037,1106
gene:PHAVU_002G047500g,3020,12703,3026,12711
gene:PHAVU_002G047600g,679,675,680,675
gene:PHAVU_002G047700g,66,49,69,50
gene:PHAVU_002G047800g,152,257,152,258
gene:PHAVU_002G047900g,0,1,0,1
gene:PHAVU_002G048000g,1899,2235,1910,2249
gene:PHAVU_002G048100g,1455,1155,1460,1157
gene:PHAVU_002G048200g,3,0,4,0
gene:PHAVU_002G048300g,0,0,0,0
gene:PHAVU_002G048400g,94,58,103,101
gene:PHAVU_002G048500g,58,335,132,897
gene:PHAVU_002G048600g,9,17,107,765
gene:PHAVU_002G048700g,2286,14736,2415,15614
gene:PHAVU_002G048800g,25510,16747,26263,17291
gene:PHAVU_002G048900g,322,216,323,216
gene:PHAVU_002G049000g,13,217,13,217
gene:PHAVU_002G049100g,127,267,129,275
gene:PHAVU_002G049200g,149,107,151,107
gene:PHAVU_002G049300g,11,57,11,58
gene:PHAVU_002G049400g,21,105,74,180
gene:PHAVU_002G049500g,226,208,305,311
gene:PHAVU_002G049600g,5,2,5,2
gene:PHAVU_002G049700g,756,1073,757,1077
gene:PHAVU_002G049800g,0,0,0,0
gene:PHAVU_002G0499001g,458,344,462,345
gene:PHAVU_002G0499000g,979,608,983,615
gene:PHAVU_002G050000g,1,2,2,4
gene:PHAVU_002G050100g,2,1,6,1
gene:PHAVU_002G050200g,51,58,51,58
gene:PHAVU_002G050300g,10,9,28,36
gene:PHAVU_002G050400g,0,2,5,8
gene:PHAVU_002G050500g,97,64,97,65
gene:PHAVU_002G050600g,341,388,345,391
gene:PHAVU_002G050700g,24,44,24,43
gene:PHAVU_002G050800g,4,21,4,21
gene:PHAVU_002G050900g,257,44,258,45
gene:PHAVU_002G051000g,56,239,56,239
gene:PHAVU_002G051100g,374,933,379,946
gene:PHAVU_002G051200g,2551,1437,2671,1494
gene:PHAVU_002G051300g,3,54,3,54
gene:PHAVU_002G051400g,2622,246,2997,270
gene:PHAVU_002G051500g,983,287,990,288
gene:PHAVU_002G051600g,621,121,621,121
gene:PHAVU_002G051700g,363,167,365,166
gene:PHAVU_002G051800g,266,238,266,238
gene:PHAVU_002G051900g,116,20,117,20
gene:PHAVU_002G052000g,3728,3189,3740,3199
gene:PHAVU_002G052100g,2,2,3,2
gene:PHAVU_002G052200g,1364,2047,1642,2416
gene:PHAVU_002G052300g,673,481,675,481
gene:PHAVU_002G052400g,55,288,56,288
gene:PHAVU_002G052500g,0,0,0,0
gene:PHAVU_002G052600g,5,7,5,7
gene:PHAVU_002G052700g,244,150,245,151
gene:PHAVU_002G052800g,279,2065,279,2079
gene:PHAVU_002G052900g,0,0,0,0
gene:PHAVU_002G053000g,20,61,24,61
gene:PHAVU_002G053100g,310,436,310,437
gene:PHAVU_002G053200g,1042,169,1556,728
gene:PHAVU_002G053300g,99,76,112,86
gene:PHAVU_002G053400g,0,0,105,22
gene:PHAVU_002G053500g,0,0,0,0
gene:PHAVU_002G053600g,151,143,151,143
gene:PHAVU_002G053700g,101,141,104,143
gene:PHAVU_002G053800g,128,45,133,45
gene:PHAVU_002G053900g,12996,2710,13077,2723
gene:PHAVU_002G054000g,12,80,12,80
gene:PHAVU_002G054100g,2520,5006,2522,5011
gene:PHAVU_002G054200g,1684,3081,1699,3115
gene:PHAVU_002G054300g,127,266,128,267
gene:PHAVU_002G054400g,1250,978,1255,981
gene:PHAVU_002G054500g,18,7,18,7
gene:PHAVU_002G054600g,854,439,861,439
gene:PHAVU_002G054700g,905,804,910,822
gene:PHAVU_002G054800g,574,397,577,400
gene:PHAVU_002G054900g,412,935,413,937
gene:PHAVU_002G055000g,1094,568,1113,579
gene:PHAVU_002G055100g,2534,1491,2532,1495
gene:PHAVU_002G055200g,438,173,438,174
gene:PHAVU_002G0553001g,0,0,0,0
gene:PHAVU_002G0553002g,0,0,0,0
gene:PHAVU_002G0553000g,0,0,0,0
gene:PHAVU_002G055400g,29,42,6980,9504
gene:PHAVU_002G055500g,23,36,15585,20941
gene:PHAVU_002G055600g,39,82,138,151
gene:PHAVU_002G055700g,3164,4649,3177,4705
gene:PHAVU_002G055800g,2248,4060,2268,4092
gene:PHAVU_002G055900g,288,97,292,99
gene:PHAVU_002G056000g,177,118,178,118
gene:PHAVU_002G056100g,103,238,103,238
gene:PHAVU_002G056200g,446,385,452,388
gene:PHAVU_002G056300g,144,312,144,312
gene:PHAVU_002G056400g,495,337,495,338
gene:PHAVU_002G056500g,2,4,2,5
gene:PHAVU_002G056600g,3,2,4,4
gene:PHAVU_002G056700g,2188,7139,2253,7301
gene:PHAVU_002G056800g,5,1,5,3
gene:PHAVU_002G0569001g,0,0,0,0
gene:PHAVU_002G0569000g,0,0,0,0
gene:PHAVU_002G057000g,3702,9063,3723,9109
gene:PHAVU_002G0571001g,13,28,13,28
gene:PHAVU_002G0571000g,3,25,3,25
gene:PHAVU_002G0572001g,74,45,74,45
gene:PHAVU_002G0572000g,90,32,91,32
gene:PHAVU_002G057300g,344,215,345,217
gene:PHAVU_002G057400g,0,3,0,5
gene:PHAVU_002G057500g,2344,21603,2347,21655
gene:PHAVU_002G057600g,54,40,54,41
gene:PHAVU_002G057700g,382,486,382,491
gene:PHAVU_002G057800g,3655,3060,3675,3070
gene:PHAVU_002G057900g,385,326,390,331
gene:PHAVU_002G058000g,24,27,24,27
gene:PHAVU_002G058100g,2,1,6,2
gene:PHAVU_002G058200g,120,12,121,12
gene:PHAVU_002G058300g,151,112,151,114
gene:PHAVU_002G058400g,0,0,0,0
gene:PHAVU_002G058500g,259,182,494,342
gene:PHAVU_002G058600g,0,0,0,0
gene:PHAVU_002G058700g,677,440,677,441
gene:PHAVU_002G058800g,0,0,0,0
gene:PHAVU_002G058900g,68,227,70,228
gene:PHAVU_002G059000g,1973,3332,2256,3765
gene:PHAVU_002G059100g,2,1,96,41
gene:PHAVU_002G059200g,35,139,35,139
gene:PHAVU_002G059300g,1418,1284,1439,1306
gene:PHAVU_002G059400g,0,2,46,26
gene:PHAVU_002G059500g,93,17,93,17
gene:PHAVU_002G059600g,0,1,0,1
gene:PHAVU_002G059700g,0,0,0,0
gene:PHAVU_002G059800g,12,32,16,41
gene:PHAVU_002G059900g,610,1428,622,1453
gene:PHAVU_002G060000g,107,568,113,582
gene:PHAVU_002G060100g,286,277,287,277
gene:PHAVU_002G060200g,26,66,26,66
gene:PHAVU_002G060300g,4000,2884,4012,2886
gene:PHAVU_002G060400g,42,52,42,52
gene:PHAVU_002G060500g,1,19,2,20
gene:PHAVU_002G060600g,65,419,66,429
gene:PHAVU_002G060700g,394,187,394,187
gene:PHAVU_002G060800g,3333,4753,3339,4772
gene:PHAVU_002G060900g,4,5,4,5
gene:PHAVU_002G061000g,6,15,6,17
gene:PHAVU_002G061100g,21,16,21,16
gene:PHAVU_002G061200g,27,32,29,48
gene:PHAVU_002G061300g,8,10,8,10
gene:PHAVU_002G061400g,327,215,328,215
gene:PHAVU_002G061500g,5697,666,5704,666
gene:PHAVU_002G061600g,505,1115,507,1121
gene:PHAVU_002G061700g,7,40,7,40
gene:PHAVU_002G061800g,254,286,261,296
gene:PHAVU_002G061900g,105,752,105,752
gene:PHAVU_002G062000g,7,63,7,64
gene:PHAVU_002G062100g,0,0,0,0
gene:PHAVU_002G062200g,447,381,486,406
gene:PHAVU_002G062300g,1,2,1,2
gene:PHAVU_002G062400g,1199,1735,1202,1736
gene:PHAVU_002G062500g,12,84,12,85
gene:PHAVU_002G062600g,348,675,349,677
gene:PHAVU_002G0627001g,40,35,40,35
gene:PHAVU_002G0627000g,42,23,44,23
gene:PHAVU_002G062800g,570,337,591,351
gene:PHAVU_002G062900g,35,11,35,11
gene:PHAVU_002G063000g,126,130,135,137
gene:PHAVU_002G063100g,63,82,63,82
gene:PHAVU_002G063200g,2849,2972,2868,2992
gene:PHAVU_002G063300g,2511,2863,2530,2898
gene:PHAVU_002G063400g,113,318,115,319
gene:PHAVU_002G063500g,14,23,14,23
gene:PHAVU_002G063600g,122,104,122,104
gene:PHAVU_002G063700g,101,12,211,36
gene:PHAVU_002G0638001g,0,0,0,0
gene:PHAVU_002G0638000g,0,0,1,0
gene:PHAVU_002G063900g,41,19,144,43
gene:PHAVU_002G064000g,69,30,73,31
gene:PHAVU_002G064100g,3,54,3,56
gene:PHAVU_002G064200g,3556,80,3559,80
gene:PHAVU_002G064300g,481,101,486,103
gene:PHAVU_002G064400g,639,362,628,363
gene:PHAVU_002G064500g,301,496,303,497
gene:PHAVU_002G064600g,3500,7403,3536,7525
gene:PHAVU_002G064700g,1,0,2,2
gene:PHAVU_002G064800g,614,453,622,463
gene:PHAVU_002G064900g,214,240,222,242
gene:PHAVU_002G065000g,1129,1286,2230,2559
gene:PHAVU_002G0651001g,0,0,4,0
gene:PHAVU_002G0651000g,0,0,0,0
gene:PHAVU_002G065200g,2169,2975,3182,4098
gene:PHAVU_002G065300g,8,4,149,129
gene:PHAVU_002G065400g,2597,1969,2634,1995
gene:PHAVU_002G065500g,299,202,836,680
gene:PHAVU_002G065600g,1,0,6,3
gene:PHAVU_002G065700g,3,36,5,38
gene:PHAVU_002G065800g,4,16,4,17
gene:PHAVU_002G065900g,1612,1297,1666,1332
gene:PHAVU_002G066000g,716,732,716,732
gene:PHAVU_002G066100g,0,1,1,3
gene:PHAVU_002G066200g,0,0,0,0
gene:PHAVU_002G066300g,1040,1052,1040,1052
gene:PHAVU_002G066400g,324,272,860,751
gene:PHAVU_002G066500g,15,14,24,14
gene:PHAVU_002G066600g,1,0,1,0
gene:PHAVU_002G0667001g,20,4,20,4
gene:PHAVU_002G0667000g,8,2,8,2
gene:PHAVU_002G066800g,7405,1067,7454,1078
gene:PHAVU_002G066900g,2,9,2,9
gene:PHAVU_002G067000g,1,14,1,14
gene:PHAVU_002G067100g,1,3,1,3
gene:PHAVU_002G067200g,353,89,389,120
gene:PHAVU_002G067300g,320,318,354,354
gene:PHAVU_002G067400g,204,146,286,189
gene:PHAVU_002G067500g,62,93,62,94
gene:PHAVU_002G067600g,0,0,1,0
gene:PHAVU_002G067700g,841,1342,844,1345
gene:PHAVU_002G067800g,3030,2518,3047,2526
gene:PHAVU_002G067900g,7,6,9,18
gene:PHAVU_002G068000g,277,20,277,20
gene:PHAVU_002G068100g,69,657,69,657
gene:PHAVU_002G068200g,127,398,127,399
gene:PHAVU_002G068300g,31,62,31,62
gene:PHAVU_002G068400g,72,71,88,84
gene:PHAVU_002G068500g,1629,2,1631,2
gene:PHAVU_002G068600g,294,136,294,138
gene:PHAVU_002G068700g,93,138,94,138
gene:PHAVU_002G068800g,0,0,0,0
gene:PHAVU_002G068900g,761,604,775,609
gene:PHAVU_002G069000g,7,12,7,12
gene:PHAVU_002G069100g,322,233,334,241
gene:PHAVU_002G069200g,1,0,1,0
gene:PHAVU_002G069300g,0,4,0,4
gene:PHAVU_002G069400g,229,93,233,93
gene:PHAVU_002G069500g,31,14,31,14
gene:PHAVU_002G069600g,490,696,506,718
gene:PHAVU_002G069700g,0,0,0,0
gene:PHAVU_002G0698001g,0,0,4,8
gene:PHAVU_002G0698000g,0,0,20,24
gene:PHAVU_002G069900g,71,441,72,442
gene:PHAVU_002G070000g,100,73,401,291
gene:PHAVU_002G070100g,463,295,473,300
gene:PHAVU_002G070200g,841,1140,845,1146
gene:PHAVU_002G070300g,0,3,0,3
gene:PHAVU_002G070400g,1513,1590,1517,1592
gene:PHAVU_002G070500g,6114,4961,7771,6327
gene:PHAVU_002G070600g,8,11,8,11
gene:PHAVU_002G070700g,0,0,0,0
gene:PHAVU_002G070800g,18,191,19,199
gene:PHAVU_002G070900g,9,42,9,42
gene:PHAVU_002G071000g,3583,3643,3590,3650
gene:PHAVU_002G071100g,77,67,79,67
gene:PHAVU_002G071200g,204,1083,234,1178
gene:PHAVU_002G071300g,1101,672,1114,679
gene:PHAVU_002G071400g,807,1139,815,1146
gene:PHAVU_002G071500g,2614,800,2675,823
gene:PHAVU_002G071600g,414,308,415,308
gene:PHAVU_002G071700g,0,0,1,0
gene:PHAVU_002G071800g,45,155,45,156
gene:PHAVU_002G071900g,4000,3559,4023,3586
gene:PHAVU_002G072000g,276,315,280,315
gene:PHAVU_002G072100g,215,331,220,342
gene:PHAVU_002G072200g,845,573,852,578
gene:PHAVU_002G072300g,2646,83,2652,83
gene:PHAVU_002G072400g,468,427,469,440
gene:PHAVU_002G072500g,1540,233,1559,234
gene:PHAVU_002G072600g,1394,1403,1430,1430
gene:PHAVU_002G072700g,26,34,27,35
gene:PHAVU_002G072800g,3036,2939,3103,2976
gene:PHAVU_002G072900g,8,5,8,5
gene:PHAVU_002G073000g,0,4,0,4
gene:PHAVU_002G073100g,1,7,1,9
gene:PHAVU_002G073200g,268,2413,273,2475
gene:PHAVU_002G073300g,97,64,98,69
gene:PHAVU_002G073400g,208,120,209,120
gene:PHAVU_002G073500g,0,0,0,0
gene:PHAVU_002G073600g,438,588,442,588
gene:PHAVU_002G073700g,0,0,1,0
gene:PHAVU_002G073800g,77,75,78,75
gene:PHAVU_002G073900g,55,12,56,12
gene:PHAVU_002G074000g,4,54,4,54
gene:PHAVU_002G074100g,16,92,17,95
gene:PHAVU_002G074200g,1253,509,1303,520
gene:PHAVU_002G074300g,77,0,89,1
gene:PHAVU_002G074400g,579,1219,586,1229
gene:PHAVU_002G074500g,3,28,3,29
gene:PHAVU_002G074600g,997,1233,1238,1543
gene:PHAVU_002G074700g,1,10,1,12
gene:PHAVU_002G074800g,286,588,287,588
gene:ENSRNA049761272,0,0,21,8
gene:PHAVU_002G074900g,123,55,123,55
gene:PHAVU_002G075000g,10,64,13,70
gene:PHAVU_002G075100g,1,5,8,38
gene:PHAVU_002G075200g,5208,27170,5224,27215
gene:PHAVU_002G075300g,54,70,56,76
gene:PHAVU_002G075400g,148,108,147,108
gene:PHAVU_002G075500g,54,30,54,30
gene:PHAVU_002G075600g,30,255,30,255
gene:PHAVU_002G075700g,0,3,0,3
gene:PHAVU_002G075800g,535,558,540,561
gene:PHAVU_002G075900g,198,1145,200,1147
gene:PHAVU_002G076000g,928,901,937,908
gene:PHAVU_002G076100g,11,60,11,60
gene:PHAVU_002G076200g,2516,7631,2520,7644
gene:PHAVU_002G076300g,1,6,14,42
gene:PHAVU_002G076400g,14,197,28,275
gene:PHAVU_002G076500g,32,177,32,177
gene:PHAVU_002G076600g,692,3225,703,3253
gene:PHAVU_002G076700g,2,14,16,92
gene:PHAVU_002G076800g,155,71,157,71
gene:PHAVU_002G076900g,281,254,281,255
gene:PHAVU_002G077000g,0,0,0,0
gene:PHAVU_002G077100g,130,280,131,281
gene:PHAVU_002G077200g,391,1016,393,1031
gene:PHAVU_002G077300g,20,195,20,195
gene:PHAVU_002G077400g,1186,2385,1186,2388
gene:PHAVU_002G077500g,0,0,0,0
gene:PHAVU_002G077600g,4762,5693,4814,5765
gene:PHAVU_002G077700g,112,75,114,75
gene:PHAVU_002G077800g,2450,1942,2468,1953
gene:PHAVU_002G077900g,0,0,33,32
gene:PHAVU_002G078000g,96,25,178,69
gene:PHAVU_002G078100g,118,124,121,124
gene:PHAVU_002G0782001g,199,92,458,225
gene:PHAVU_002G0782000g,61,59,76,67
gene:PHAVU_002G078300g,827,2819,830,2825
gene:PHAVU_002G078400g,36,19,36,19
gene:PHAVU_002G078500g,8,9,8,9
gene:PHAVU_002G078600g,1113,1564,1119,1564
gene:PHAVU_002G078700g,130,182,132,183
gene:PHAVU_002G078800g,1301,1341,1346,1374
gene:PHAVU_002G078900g,3,12,3,12
gene:PHAVU_002G079000g,30,60,30,62
gene:PHAVU_002G079100g,1,1,1,1
gene:PHAVU_002G079200g,1,10,1,10
gene:PHAVU_002G079300g,343,112,352,115
gene:PHAVU_002G079400g,471,364,492,378
gene:PHAVU_002G0795001g,15,11,17,11
gene:PHAVU_002G0795000g,9,7,9,7
gene:PHAVU_002G079600g,541,809,546,816
gene:PHAVU_002G079700g,3,17,3,19
gene:PHAVU_002G079800g,0,0,0,0
gene:PHAVU_002G079900g,415,120,415,122
gene:PHAVU_002G080000g,28,218,28,218
gene:ENSRNA049761233,0,0,9,3
gene:PHAVU_002G080100g,75,164,76,164
gene:PHAVU_002G080200g,32,7,33,7
gene:PHAVU_002G080300g,1497,385,1511,385
gene:PHAVU_002G080400g,1795,929,1820,957
gene:PHAVU_002G080500g,0,0,0,0
gene:PHAVU_002G080600g,82,62,387,271
gene:PHAVU_002G080700g,85,69,150,108
gene:PHAVU_002G080800g,3171,3628,3181,3640
gene:PHAVU_002G080900g,21,17,21,17
gene:PHAVU_002G081000g,0,0,0,0
gene:PHAVU_002G081100g,15,19,97,63
gene:PHAVU_002G081200g,36,29,36,29
gene:PHAVU_002G081300g,823,2437,849,2490
gene:PHAVU_002G081400g,1,4,8,11
gene:PHAVU_002G081500g,1,0,2,0
gene:PHAVU_002G081600g,377,103,385,103
gene:PHAVU_002G081700g,0,0,6,8
gene:PHAVU_002G081800g,0,0,0,0
gene:PHAVU_002G081900g,0,0,0,0
gene:PHAVU_002G082000g,617,678,625,678
gene:PHAVU_002G082100g,103,343,106,347
gene:PHAVU_002G082200g,283,42,283,42
gene:PHAVU_002G082300g,757,660,761,664
gene:PHAVU_002G082400g,9,33,9,33
gene:PHAVU_002G082500g,43,18,42,18
gene:PHAVU_002G082600g,10,32,102,134
gene:PHAVU_002G082700g,66,77,160,180
gene:PHAVU_002G082800g,88,102,89,102
gene:PHAVU_002G082900g,2,11,2,11
gene:PHAVU_002G083000g,1567,1059,1569,1067
gene:PHAVU_002G083100g,2878,1986,2882,1986
gene:PHAVU_002G083200g,414,649,417,658
gene:PHAVU_002G083300g,86,43,86,45
gene:PHAVU_002G083400g,260,383,261,383
gene:PHAVU_002G083500g,38,0,38,0
gene:PHAVU_002G083600g,2543,744,2590,761
gene:PHAVU_002G083700g,11,19,11,19
gene:PHAVU_002G083800g,0,0,0,0
gene:PHAVU_002G083900g,4,9,4,9
gene:PHAVU_002G084000g,139,95,142,96
gene:PHAVU_002G084100g,265,42,268,42
gene:PHAVU_002G084200g,14,37,14,37
gene:PHAVU_002G084300g,1655,2154,1656,2156
gene:PHAVU_002G084400g,1305,588,1324,592
gene:PHAVU_002G084500g,97,1198,101,1218
gene:PHAVU_002G084600g,4,28,4,30
gene:PHAVU_002G084700g,24,37,24,37
gene:PHAVU_002G084800g,1,1,1,1
gene:PHAVU_002G084900g,1707,1407,1729,1419
gene:PHAVU_002G085000g,0,1,0,1
gene:PHAVU_002G085100g,1566,2306,1579,2313
gene:PHAVU_002G085200g,1210,1892,1246,1956
gene:PHAVU_002G085300g,7,23,7,23
gene:PHAVU_002G085400g,27,83,27,83
gene:PHAVU_002G085500g,420,361,424,363
gene:PHAVU_002G085600g,2419,2589,2459,2619
gene:PHAVU_002G085700g,0,5,0,5
gene:PHAVU_002G085800g,0,0,0,6
gene:PHAVU_002G085900g,1527,3180,1555,3232
gene:PHAVU_002G086000g,58,1,58,1
gene:PHAVU_002G086100g,3723,1838,3734,1842
gene:PHAVU_002G086200g,336,221,406,271
gene:PHAVU_002G086300g,2627,159,2630,161
gene:PHAVU_002G086400g,7848,1711,7924,1726
gene:PHAVU_002G086500g,622,192,629,196
gene:PHAVU_002G086600g,103,163,105,165
gene:PHAVU_002G086700g,41,51,41,51
gene:PHAVU_002G086800g,225,118,225,120
gene:PHAVU_002G086900g,2417,24735,2422,24766
gene:PHAVU_002G087000g,2118,4004,2131,4024
gene:PHAVU_002G087100g,233,619,234,621
gene:PHAVU_002G087200g,93,57,127,77
gene:PHAVU_002G087300g,56,46,56,47
gene:PHAVU_002G087400g,17,126,17,126
gene:PHAVU_002G087500g,517,19,522,19
gene:PHAVU_002G087600g,164,346,164,346
gene:PHAVU_002G087700g,760,1495,761,1501
gene:PHAVU_002G087800g,4140,3125,4304,3209
gene:PHAVU_002G087900g,314,231,314,231
gene:PHAVU_002G088000g,165,83,165,85
gene:PHAVU_002G088100g,0,0,0,0
gene:PHAVU_002G088200g,1939,2556,1972,2600
gene:PHAVU_002G088300g,469,499,505,531
gene:PHAVU_002G088400g,9,120,9,121
gene:PHAVU_002G088500g,231,157,231,157
gene:PHAVU_002G088600g,235,1616,237,1623
gene:PHAVU_002G088700g,19,93,19,93
gene:PHAVU_002G088800g,0,0,1,0
gene:PHAVU_002G088900g,64,280,65,281
gene:PHAVU_002G089000g,423,406,427,406
gene:PHAVU_002G089100g,786,704,800,721
gene:PHAVU_002G089200g,616,537,619,537
gene:PHAVU_002G089300g,0,1,0,1
gene:PHAVU_002G089400g,432,312,446,317
gene:PHAVU_002G089500g,64,58,64,58
gene:PHAVU_002G089600g,89,38,89,38
gene:PHAVU_002G089700g,1,6,1,6
gene:PHAVU_002G089800g,102,78,102,78
gene:PHAVU_002G089900g,0,0,0,0
gene:PHAVU_002G090000g,1,0,1,0
gene:PHAVU_002G090100g,5263,761,5275,762
gene:PHAVU_002G090200g,200,176,200,176
gene:PHAVU_002G090300g,10,22,18,26
gene:PHAVU_002G090400g,10,5,10,5
gene:PHAVU_002G090500g,8,8,10,13
gene:PHAVU_002G090600g,82,231,730,886
gene:PHAVU_002G090700g,0,0,0,0
gene:PHAVU_002G090800g,184,93,184,93
gene:PHAVU_002G090900g,4235,3932,4266,3956
gene:PHAVU_002G091000g,161,231,164,235
gene:PHAVU_002G091100g,173,728,175,741
gene:PHAVU_002G091200g,39,45,117,79
gene:PHAVU_002G091300g,380,307,383,307
gene:PHAVU_002G091400g,261,310,264,313
gene:PHAVU_002G091500g,4,1,4,1
gene:PHAVU_002G091600g,1423,2083,1445,2090
gene:PHAVU_002G091700g,160,128,162,128
gene:PHAVU_002G091800g,0,0,6,4
gene:PHAVU_002G091900g,80,73,93,88
gene:PHAVU_002G092000g,11,1,194,222
gene:PHAVU_002G092100g,0,0,0,0
gene:PHAVU_002G092200g,1718,7761,1724,7790
gene:PHAVU_002G092300g,17,153,17,153
gene:PHAVU_002G092400g,46,207,45,208
gene:PHAVU_002G092500g,278,409,281,409
gene:PHAVU_002G092600g,512,766,514,768
gene:PHAVU_002G092700g,29,59,29,59
gene:PHAVU_002G092800g,2966,2327,2977,2338
gene:PHAVU_002G092900g,7833,2314,7867,2319
gene:PHAVU_002G093000g,0,4,0,4
gene:PHAVU_002G093100g,105,194,105,194
gene:PHAVU_002G093200g,524,470,525,471
gene:PHAVU_002G093300g,7,4,11,7
gene:PHAVU_002G093400g,0,0,0,0
gene:PHAVU_002G093500g,96,501,97,501
gene:PHAVU_002G093600g,0,0,7,6
gene:PHAVU_002G093700g,0,0,0,0
gene:PHAVU_002G093800g,0,0,0,0
gene:PHAVU_002G093900g,0,0,2,0
gene:PHAVU_002G094000g,12730,311,12937,315
gene:PHAVU_002G094100g,35,187,37,187
gene:PHAVU_002G094200g,151,451,151,451
gene:PHAVU_002G094300g,128,65,128,65
gene:PHAVU_002G094400g,0,0,0,0
gene:PHAVU_002G094500g,0,0,0,0
gene:PHAVU_002G0946001g,572,152,2234,629
gene:PHAVU_002G0946000g,106,21,333,80
gene:PHAVU_002G094700g,300,241,300,243
gene:PHAVU_002G094800g,63,48,1945,584
gene:PHAVU_002G094900g,80,124,80,126
gene:PHAVU_002G095000g,363,268,368,272
gene:PHAVU_002G095100g,761,737,775,744
gene:PHAVU_002G095200g,1,0,1,0
gene:PHAVU_002G095300g,182,126,184,128
gene:ENSRNA049761271,0,0,8,1
gene:PHAVU_002G095400g,243,481,244,481
gene:PHAVU_002G095500g,493,400,494,405
gene:PHAVU_002G095600g,413,539,416,539
gene:PHAVU_002G095700g,414,390,414,390
gene:PHAVU_002G095800g,0,0,0,0
gene:PHAVU_002G095900g,3,23,3,23
gene:PHAVU_002G096000g,1,0,1,0
gene:PHAVU_002G096100g,2,2,5,5
gene:PHAVU_002G096200g,37,0,41,2
gene:PHAVU_002G096300g,75,65,160,136
gene:PHAVU_002G096400g,0,0,0,0
gene:PHAVU_002G096500g,28628,12,28661,12
gene:PHAVU_002G096600g,35,79,35,79
gene:PHAVU_002G096700g,2324,1742,2329,1746
gene:PHAVU_002G096800g,2,14,2,14
gene:PHAVU_002G096900g,846,635,847,635
gene:PHAVU_002G097000g,12,96,32,144
gene:PHAVU_002G097100g,35,9,55,57
gene:PHAVU_002G097200g,609,447,609,447
gene:PHAVU_002G097300g,27,39,29,39
gene:PHAVU_002G097400g,1106,860,1108,864
gene:PHAVU_002G097500g,622,919,631,931
gene:PHAVU_002G097600g,0,0,0,0
gene:PHAVU_002G097700g,69,47,69,47
gene:PHAVU_002G097800g,698,336,701,337
gene:PHAVU_002G097900g,25,12,44,25
gene:PHAVU_002G098000g,115,37,306,146
gene:PHAVU_002G098100g,1016,490,1030,495
gene:PHAVU_002G098200g,0,2,0,3
gene:PHAVU_002G098300g,637,1496,643,1503
gene:PHAVU_002G098400g,8,23,8,23
gene:PHAVU_002G098500g,127,72,129,77
gene:PHAVU_002G098600g,67,45,67,45
gene:PHAVU_002G098700g,3,16,3,16
gene:PHAVU_002G098800g,2143,1643,2153,1654
gene:PHAVU_002G098900g,93,215,94,216
gene:PHAVU_002G099000g,41,165,41,166
gene:PHAVU_002G099100g,329,294,331,295
gene:PHAVU_002G099200g,0,0,0,0
gene:ENSRNA049761234,0,0,0,0
gene:PHAVU_002G0993001g,33,21,140,65
gene:PHAVU_002G0993002g,36,31,134,105
gene:PHAVU_002G0993003g,0,0,32,31
