,Groupe,Nombre de gènes (nbG),nbG Lupinus A.,nbG Medicago T.,nbG Phaseolus V.,nbG Glycine M.,Lotus J.,,somme(D:H)
OG0000115,OG0000115,56,0,39,2,4,11,,56
OG0000116,OG0000116,55,6,10,10,22,7,,55
OG0000117,OG0000117,55,3,18,16,7,11,,55
OG0000118,OG0000118,54,0,8,0,46,0,,54
OG0000119,OG0000119,54,0,38,1,6,9,,54
OG0000120,OG0000120,54,0,52,0,1,1,,54
OG0000121,OG0000121,53,0,5,0,44,4,,53
OG0000122,OG0000122,53,2,28,11,10,2,,53
OG0000123,OG0000123,53,2,14,15,10,12,,53
OG0000124,OG0000124,53,0,20,25,0,8,,53
OG0000125,OG0000125,52,3,19,9,9,12,,52
OG0000126,OG0000126,52,0,36,1,9,6,,52
OG0000127,OG0000127,52,3,19,11,11,8,,52
OG0000128,OG0000128,51,5,12,9,18,7,,51
OG0000129,OG0000129,51,4,14,9,19,5,,51
OG0000130,OG0000130,51,1,16,17,10,7,,51
OG0000131,OG0000131,51,1,20,4,17,9,,51
OG0000132,OG0000132,51,0,49,0,0,2,,51
OG0000133,OG0000133,50,4,12,1,20,13,,50
OG0000134,OG0000134,50,8,10,8,17,7,,50
OG0000135,OG0000135,50,1,3,6,37,3,,50
OG0000136,OG0000136,50,1,1,0,6,42,,50
OG0000137,OG0000137,50,4,14,9,12,11,,50
OG0000138,OG0000138,50,0,17,16,10,7,,50
OG0000139,OG0000139,50,0,18,10,6,16,,50
OG0000140,OG0000140,50,0,45,0,1,4,,50
OG0000141,OG0000141,50,0,46,0,2,2,,50
OG0000142,OG0000142,49,0,29,11,9,0,,49
OG0000143,OG0000143,49,5,12,5,17,10,,49
OG0000144,OG0000144,49,5,9,8,19,8,,49
OG0000145,OG0000145,49,1,7,7,27,7,,49
OG0000146,OG0000146,49,0,16,4,22,7,,49
OG0000147,OG0000147,49,0,39,1,5,4,,49
OG0000148,OG0000148,49,2,3,5,36,3,,49
OG0000149,OG0000149,49,0,44,0,1,4,,49
OG0000150,OG0000150,49,0,48,0,0,1,,49
OG0000151,OG0000151,48,0,12,17,19,0,,48
OG0000152,OG0000152,48,7,7,8,21,5,,48
OG0000153,OG0000153,48,0,2,2,40,4,,48
OG0000154,OG0000154,47,4,11,11,14,7,,47
OG0000155,OG0000155,47,2,9,11,18,7,,47
OG0000156,OG0000156,47,3,5,10,19,10,,47
OG0000157,OG0000157,47,0,15,0,3,29,,47
OG0000158,OG0000158,47,1,4,5,31,6,,47
OG0000159,OG0000159,47,4,0,5,34,4,,47
OG0000160,OG0000160,47,1,2,7,33,4,,47
OG0000161,OG0000161,46,2,0,9,30,5,,46
OG0000162,OG0000162,46,5,10,7,17,7,,46
OG0000163,OG0000163,46,5,8,9,15,9,,46
OG0000164,OG0000164,46,0,2,0,0,44,,46
OG0000165,OG0000165,45,3,17,12,9,4,,45
OG0000166,OG0000166,45,0,43,1,1,0,,45
OG0000167,OG0000167,45,1,41,0,0,3,,45
OG0000168,OG0000168,44,6,10,9,11,8,,44
OG0000169,OG0000169,44,2,3,13,22,4,,44
OG0000170,OG0000170,44,1,10,5,20,8,,44
OG0000171,OG0000171,44,1,3,1,38,1,,44
OG0000172,OG0000172,44,1,9,9,17,8,,44
OG0000173,OG0000173,44,2,14,18,8,2,,44
OG0000174,OG0000174,44,1,33,4,1,5,,44
OG0000175,OG0000175,44,1,27,0,0,16,,44
OG0000176,OG0000176,44,2,39,1,0,2,,44
OG0000177,OG0000177,43,1,15,16,7,4,,43
OG0000178,OG0000178,43,5,12,7,11,8,,43
OG0000179,OG0000179,43,2,5,8,21,7,,43
OG0000180,OG0000180,43,2,14,6,14,7,,43
OG0000181,OG0000181,43,1,22,10,5,5,,43
OG0000182,OG0000182,43,3,9,9,18,4,,43
OG0000183,OG0000183,43,1,5,23,8,6,,43
OG0000184,OG0000184,42,2,2,5,30,3,,42
OG0000185,OG0000185,42,0,9,4,13,16,,42
OG0000186,OG0000186,42,0,18,15,6,3,,42
OG0000187,OG0000187,42,2,21,10,4,5,,42
OG0000188,OG0000188,42,3,14,8,12,5,,42
OG0000189,OG0000189,42,5,7,8,12,10,,42
OG0000190,OG0000190,42,1,24,1,9,7,,42
OG0000191,OG0000191,42,2,14,11,6,9,,42
OG0000192,OG0000192,42,2,4,5,25,6,,42
OG0000193,OG0000193,41,0,4,3,29,5,,41
OG0000194,OG0000194,41,1,4,6,23,7,,41
OG0000195,OG0000195,41,5,7,6,7,16,,41
OG0000196,OG0000196,41,2,4,13,3,19,,41
OG0000197,OG0000197,41,2,10,8,14,7,,41
OG0000198,OG0000198,41,6,9,8,11,7,,41
OG0000199,OG0000199,41,2,7,6,24,2,,41
OG0000200,OG0000200,41,7,6,7,10,11,,41
OG0000201,OG0000201,41,0,22,17,2,0,,41
OG0000202,OG0000202,41,2,3,4,29,3,,41
OG0000203,OG0000203,41,1,16,7,14,3,,41
OG0000204,OG0000204,41,0,37,0,1,3,,41
OG0000205,OG0000205,41,0,0,1,1,39,,41
OG0000206,OG0000206,40,0,11,6,20,3,,40
OG0000207,OG0000207,40,2,8,11,18,1,,40
OG0000208,OG0000208,40,0,9,1,7,23,,40
OG0000209,OG0000209,40,1,8,15,14,2,,40
OG0000210,OG0000210,40,0,36,0,2,2,,40
OG0000211,OG0000211,40,1,3,2,33,1,,40
OG0000212,OG0000212,40,1,5,3,26,5,,40
OG0000213,OG0000213,40,1,1,0,0,38,,40
OG0000214,OG0000214,40,0,38,0,0,2,,40
OG0000215,OG0000215,39,2,2,5,29,1,,39
OG0000216,OG0000216,39,1,15,3,10,10,,39
OG0000217,OG0000217,39,2,8,6,20,3,,39
OG0000218,OG0000218,39,2,24,0,4,9,,39
OG0000219,OG0000219,39,2,7,8,16,6,,39
OG0000220,OG0000220,39,4,10,5,11,9,,39
OG0000221,OG0000221,39,1,13,6,13,6,,39
OG0000222,OG0000222,39,0,0,2,35,2,,39
OG0000223,OG0000223,39,0,36,1,1,1,,39
OG0000224,OG0000224,39,1,7,10,20,1,,39
OG0000225,OG0000225,39,3,9,8,14,5,,39
OG0000226,OG0000226,39,1,30,1,5,2,,39
OG0000227,OG0000227,39,2,12,8,7,10,,39
OG0000228,OG0000228,39,1,21,6,5,6,,39
OG0000229,OG0000229,39,0,35,0,0,4,,39
OG0000230,OG0000230,39,0,36,1,0,2,,39
OG0000231,OG0000231,38,3,9,6,11,9,,38
OG0000232,OG0000232,38,6,8,10,9,5,,38
OG0000233,OG0000233,38,3,6,8,16,5,,38
OG0000234,OG0000234,38,4,6,9,11,8,,38
OG0000235,OG0000235,38,5,6,7,10,10,,38
OG0000236,OG0000236,38,5,6,5,7,15,,38
OG0000237,OG0000237,38,3,13,6,8,8,,38
OG0000238,OG0000238,38,1,25,4,3,5,,38
OG0000239,OG0000239,38,0,11,13,13,1,,38
OG0000240,OG0000240,38,2,3,3,25,5,,38
OG0000241,OG0000241,38,5,6,5,13,9,,38
OG0000242,OG0000242,38,1,3,5,22,7,,38
OG0000243,OG0000243,38,4,11,7,5,11,,38
OG0000244,OG0000244,38,2,4,6,14,12,,38
OG0000245,OG0000245,37,1,16,4,3,13,,37
OG0000246,OG0000246,37,3,7,4,12,11,,37
OG0000247,OG0000247,37,1,19,3,14,0,,37
OG0000248,OG0000248,37,2,15,6,10,4,,37
OG0000249,OG0000249,37,2,8,8,13,6,,37
OG0000250,OG0000250,37,7,11,2,1,16,,37
OG0000251,OG0000251,37,1,34,0,0,2,,37
OG0000252,OG0000252,36,2,8,12,8,6,,36
OG0000253,OG0000253,36,5,8,5,12,6,,36
OG0000254,OG0000254,36,1,5,1,24,5,,36
OG0000255,OG0000255,36,0,4,11,4,17,,36
OG0000256,OG0000256,36,4,8,7,13,4,,36
OG0000257,OG0000257,36,3,5,8,16,4,,36
OG0000258,OG0000258,36,2,7,6,17,4,,36
OG0000259,OG0000259,36,2,2,2,24,6,,36
OG0000260,OG0000260,36,2,7,7,11,9,,36
OG0000261,OG0000261,36,3,6,5,12,10,,36
OG0000262,OG0000262,36,1,13,2,10,10,,36
OG0000263,OG0000263,36,0,13,13,8,2,,36
OG0000264,OG0000264,36,1,33,2,0,0,,36
OG0000265,OG0000265,35,4,5,4,18,4,,35
OG0000266,OG0000266,35,3,4,7,19,2,,35
OG0000267,OG0000267,35,0,6,20,7,2,,35
OG0000268,OG0000268,35,0,8,6,14,7,,35
OG0000269,OG0000269,35,3,9,6,11,6,,35
OG0000270,OG0000270,35,2,11,7,7,8,,35
OG0000271,OG0000271,35,0,21,6,7,1,,35
OG0000272,OG0000272,35,1,7,6,11,10,,35
OG0000273,OG0000273,35,4,9,5,11,6,,35
OG0000274,OG0000274,35,0,9,7,9,10,,35
OG0000275,OG0000275,35,4,8,8,9,6,,35
OG0000276,OG0000276,35,0,11,17,4,3,,35
OG0000277,OG0000277,35,1,11,11,7,5,,35
OG0000278,OG0000278,35,5,11,12,6,1,,35
OG0000279,OG0000279,35,0,7,7,17,4,,35
OG0000280,OG0000280,35,5,12,11,4,3,,35
OG0000281,OG0000281,34,6,4,6,14,4,,34
OG0000282,OG0000282,34,3,11,11,6,3,,34
OG0000283,OG0000283,34,1,15,4,7,7,,34
OG0000284,OG0000284,34,1,6,6,15,6,,34
OG0000285,OG0000285,34,5,15,5,5,4,,34
OG0000286,OG0000286,34,3,1,7,18,5,,34
OG0000287,OG0000287,34,1,1,2,25,5,,34
OG0000288,OG0000288,34,0,27,0,3,4,,34
OG0000289,OG0000289,34,0,27,0,6,1,,34
OG0000290,OG0000290,34,4,4,7,14,5,,34
OG0000291,OG0000291,34,4,7,7,9,7,,34
OG0000292,OG0000292,34,3,7,5,13,6,,34
OG0000293,OG0000293,34,4,5,6,13,6,,34
OG0000294,OG0000294,34,2,4,2,25,1,,34
OG0000295,OG0000295,34,1,2,5,24,2,,34
OG0000296,OG0000296,34,2,2,3,4,23,,34
OG0000297,OG0000297,34,5,7,6,10,6,,34
OG0000298,OG0000298,34,1,2,3,24,4,,34
OG0000299,OG0000299,34,0,0,9,25,0,,34
OG0000300,OG0000300,34,1,24,0,2,7,,34
OG0000301,OG0000301,34,1,3,2,23,5,,34
OG0000302,OG0000302,34,1,19,0,2,12,,34
OG0000303,OG0000303,34,1,15,0,3,15,,34
OG0000304,OG0000304,33,2,3,2,22,4,,33
OG0000305,OG0000305,33,2,2,4,20,5,,33
OG0000306,OG0000306,33,0,2,0,26,5,,33
OG0000307,OG0000307,33,1,4,4,18,6,,33
OG0000308,OG0000308,33,0,0,23,9,1,,33
OG0000309,OG0000309,33,7,8,5,8,5,,33
