,Groupe,Nombre de gènes (nbG),nbG Lupinus A.,nbG Medicago T.,nbG Phaseolus V.,nbG Glycine M.,Lotus J.,,somme(D:H)
OG0005279,OG0005279,10,2,3,1,1,3,,10
OG0005280,OG0005280,10,0,3,2,3,2,,10
OG0005281,OG0005281,10,0,3,2,3,2,,10
OG0005282,OG0005282,10,0,5,1,2,2,,10
OG0005283,OG0005283,10,1,2,2,4,1,,10
OG0005284,OG0005284,10,1,1,1,6,1,,10
OG0005285,OG0005285,10,0,1,2,4,3,,10
OG0005286,OG0005286,10,0,2,1,4,3,,10
OG0005287,OG0005287,10,0,3,2,3,2,,10
OG0005288,OG0005288,10,2,1,1,3,3,,10
OG0005289,OG0005289,10,1,1,3,4,1,,10
OG0005290,OG0005290,10,0,2,2,4,2,,10
OG0005291,OG0005291,10,0,2,2,5,1,,10
OG0005292,OG0005292,10,1,2,1,3,3,,10
OG0005293,OG0005293,10,1,2,3,2,2,,10
OG0005294,OG0005294,10,1,2,1,5,1,,10
OG0005295,OG0005295,10,1,3,1,4,1,,10
OG0005296,OG0005296,10,1,1,2,4,2,,10
OG0005297,OG0005297,10,1,2,1,5,1,,10
OG0005298,OG0005298,10,0,6,2,1,1,,10
OG0005299,OG0005299,10,0,2,4,4,0,,10
OG0005300,OG0005300,10,1,2,1,4,2,,10
OG0005301,OG0005301,10,1,2,2,3,2,,10
OG0005302,OG0005302,10,1,1,2,4,2,,10
OG0005303,OG0005303,10,0,3,2,3,2,,10
OG0005304,OG0005304,10,1,0,2,4,3,,10
OG0005305,OG0005305,10,1,1,2,3,3,,10
OG0005306,OG0005306,10,0,3,1,6,0,,10
OG0005307,OG0005307,10,2,2,2,3,1,,10
OG0005308,OG0005308,10,0,0,2,7,1,,10
OG0005309,OG0005309,10,1,1,1,6,1,,10
OG0005310,OG0005310,10,0,1,3,5,1,,10
OG0005311,OG0005311,10,0,2,0,7,1,,10
OG0005312,OG0005312,10,2,4,1,2,1,,10
OG0005313,OG0005313,10,1,1,2,5,1,,10
OG0005314,OG0005314,10,0,1,2,3,4,,10
OG0005315,OG0005315,10,1,1,2,5,1,,10
OG0005316,OG0005316,10,1,2,2,3,2,,10
OG0005317,OG0005317,10,0,2,2,5,1,,10
OG0005318,OG0005318,10,1,5,1,2,1,,10
OG0005319,OG0005319,10,1,1,1,5,2,,10
OG0005320,OG0005320,10,1,1,2,3,3,,10
OG0005321,OG0005321,10,0,1,2,3,4,,10
OG0005322,OG0005322,10,1,1,1,3,4,,10
OG0005323,OG0005323,10,0,2,2,4,2,,10
OG0005324,OG0005324,10,1,1,1,6,1,,10
OG0005325,OG0005325,10,0,2,2,4,2,,10
OG0005326,OG0005326,10,0,3,1,3,3,,10
OG0005327,OG0005327,10,2,2,2,2,2,,10
OG0005328,OG0005328,10,1,1,2,4,2,,10
OG0005329,OG0005329,10,1,2,1,4,2,,10
OG0005330,OG0005330,10,1,1,4,1,3,,10
OG0005331,OG0005331,10,1,1,2,4,2,,10
OG0005332,OG0005332,10,1,2,1,5,1,,10
OG0005333,OG0005333,10,2,2,2,3,1,,10
OG0005334,OG0005334,10,1,2,2,4,1,,10
OG0005335,OG0005335,10,1,3,1,4,1,,10
OG0005336,OG0005336,10,2,1,2,4,1,,10
OG0005337,OG0005337,10,0,1,2,5,2,,10
OG0005338,OG0005338,10,1,1,1,5,2,,10
OG0005339,OG0005339,10,1,1,1,4,3,,10
OG0005340,OG0005340,10,1,2,1,3,3,,10
OG0005341,OG0005341,10,1,2,2,4,1,,10
OG0005342,OG0005342,10,1,0,0,2,7,,10
OG0005343,OG0005343,10,1,2,1,3,3,,10
OG0005344,OG0005344,10,2,1,1,2,4,,10
OG0005345,OG0005345,10,0,3,1,2,4,,10
OG0005346,OG0005346,10,0,4,1,4,1,,10
OG0005347,OG0005347,10,0,0,2,4,4,,10
OG0005348,OG0005348,10,0,1,2,5,2,,10
OG0005349,OG0005349,10,2,2,2,2,2,,10
OG0005350,OG0005350,10,1,1,2,4,2,,10
OG0005351,OG0005351,10,1,3,1,4,1,,10
OG0005352,OG0005352,10,2,3,1,3,1,,10
OG0005353,OG0005353,10,1,2,2,4,1,,10
OG0005354,OG0005354,10,0,2,2,5,1,,10
OG0005355,OG0005355,10,0,3,2,3,2,,10
OG0005356,OG0005356,10,1,2,2,3,2,,10
OG0005357,OG0005357,10,3,1,1,4,1,,10
OG0005358,OG0005358,10,2,2,3,3,0,,10
OG0005359,OG0005359,10,1,2,2,4,1,,10
OG0005360,OG0005360,10,0,4,2,2,2,,10
OG0005361,OG0005361,10,1,4,1,3,1,,10
OG0005362,OG0005362,10,3,1,2,2,2,,10
OG0005363,OG0005363,10,2,3,1,2,2,,10
OG0005364,OG0005364,10,0,1,6,1,2,,10
OG0005365,OG0005365,10,0,4,1,4,1,,10
OG0005366,OG0005366,10,0,3,1,5,1,,10
OG0005367,OG0005367,10,1,2,2,4,1,,10
OG0005368,OG0005368,10,0,1,2,4,3,,10
OG0005369,OG0005369,10,1,2,2,3,2,,10
OG0005370,OG0005370,10,0,1,2,5,2,,10
OG0005371,OG0005371,10,1,2,1,4,2,,10
OG0005372,OG0005372,10,2,2,2,2,2,,10
OG0005373,OG0005373,10,1,1,2,4,2,,10
OG0005374,OG0005374,10,1,1,2,4,2,,10
OG0005375,OG0005375,10,1,2,2,4,1,,10
OG0005376,OG0005376,10,1,2,2,4,1,,10
OG0005377,OG0005377,10,1,2,2,3,2,,10
OG0005378,OG0005378,10,3,1,2,3,1,,10
OG0005379,OG0005379,10,3,2,2,2,1,,10
OG0005380,OG0005380,10,1,3,3,2,1,,10
OG0005381,OG0005381,10,1,5,1,3,0,,10
OG0005382,OG0005382,10,1,2,2,3,2,,10
OG0005383,OG0005383,10,1,1,1,5,2,,10
OG0005384,OG0005384,10,2,2,1,3,2,,10
OG0005385,OG0005385,10,1,1,2,6,0,,10
OG0005386,OG0005386,10,1,2,1,5,1,,10
OG0005387,OG0005387,10,1,3,2,4,0,,10
OG0005388,OG0005388,10,0,3,2,4,1,,10
OG0005389,OG0005389,10,1,1,2,5,1,,10
OG0005390,OG0005390,10,0,3,1,5,1,,10
OG0005391,OG0005391,10,0,2,2,4,2,,10
OG0005392,OG0005392,10,1,1,1,4,3,,10
OG0005393,OG0005393,10,0,5,1,2,2,,10
OG0005394,OG0005394,10,0,2,1,5,2,,10
OG0005395,OG0005395,10,1,3,2,3,1,,10
OG0005396,OG0005396,10,1,2,2,4,1,,10
OG0005397,OG0005397,10,0,1,1,8,0,,10
OG0005398,OG0005398,10,2,1,2,4,1,,10
OG0005399,OG0005399,10,3,2,2,2,1,,10
OG0005400,OG0005400,10,0,1,3,4,2,,10
OG0005401,OG0005401,10,1,2,2,4,1,,10
OG0005402,OG0005402,10,2,2,2,3,1,,10
OG0005403,OG0005403,10,1,1,1,5,2,,10
OG0005404,OG0005404,10,1,1,2,2,4,,10
OG0005405,OG0005405,10,0,2,2,3,3,,10
OG0005406,OG0005406,10,1,2,1,2,4,,10
OG0005407,OG0005407,10,2,2,1,4,1,,10
OG0005408,OG0005408,10,2,1,3,3,1,,10
OG0005409,OG0005409,10,0,1,2,6,1,,10
OG0005410,OG0005410,10,2,1,3,3,1,,10
OG0005411,OG0005411,10,2,2,1,4,1,,10
OG0005412,OG0005412,10,0,1,2,3,4,,10
OG0005413,OG0005413,10,0,2,2,4,2,,10
OG0005414,OG0005414,10,0,1,5,3,1,,10
OG0005415,OG0005415,10,1,1,1,4,3,,10
OG0005416,OG0005416,10,3,2,2,2,1,,10
OG0005417,OG0005417,10,0,3,1,3,3,,10
OG0005418,OG0005418,10,0,3,2,4,1,,10
OG0005419,OG0005419,10,0,4,2,4,0,,10
OG0005420,OG0005420,10,2,1,2,4,1,,10
OG0005421,OG0005421,10,2,1,1,3,3,,10
OG0005422,OG0005422,10,1,1,2,3,3,,10
OG0005423,OG0005423,10,1,2,1,4,2,,10
OG0005424,OG0005424,10,0,2,2,5,1,,10
OG0005425,OG0005425,10,1,2,2,3,2,,10
OG0005426,OG0005426,10,1,1,1,5,2,,10
OG0005427,OG0005427,10,1,3,2,1,3,,10
OG0005428,OG0005428,10,0,1,2,4,3,,10
OG0005429,OG0005429,10,0,2,2,5,1,,10
OG0005430,OG0005430,10,0,1,3,4,2,,10
OG0005431,OG0005431,10,1,2,2,3,2,,10
OG0005432,OG0005432,10,1,3,1,3,2,,10
OG0005433,OG0005433,10,1,2,1,4,2,,10
OG0005434,OG0005434,10,1,2,3,3,1,,10
OG0005435,OG0005435,10,2,1,2,3,2,,10
OG0005436,OG0005436,10,1,1,1,6,1,,10
OG0005437,OG0005437,10,0,2,1,5,2,,10
OG0005438,OG0005438,10,1,1,1,6,1,,10
OG0005439,OG0005439,10,1,1,2,3,3,,10
OG0005440,OG0005440,10,1,2,1,4,2,,10
OG0005441,OG0005441,10,1,3,1,3,2,,10
OG0005442,OG0005442,10,1,2,2,3,2,,10
OG0005443,OG0005443,10,1,3,1,4,1,,10
OG0005444,OG0005444,10,1,1,2,3,3,,10
OG0005445,OG0005445,10,0,2,2,2,4,,10
OG0005446,OG0005446,10,0,2,3,4,1,,10
OG0005447,OG0005447,10,1,2,2,2,3,,10
OG0005448,OG0005448,10,1,1,1,6,1,,10
OG0005449,OG0005449,10,0,1,0,2,7,,10
OG0005450,OG0005450,10,2,2,1,3,2,,10
OG0005451,OG0005451,10,0,2,3,3,2,,10
OG0005452,OG0005452,10,0,2,4,3,1,,10
OG0005453,OG0005453,10,0,2,2,4,2,,10
OG0005454,OG0005454,10,2,2,2,3,1,,10
OG0005455,OG0005455,10,0,6,0,1,3,,10
OG0005456,OG0005456,10,0,6,1,2,1,,10
OG0005457,OG0005457,10,0,8,1,1,0,,10
OG0005458,OG0005458,10,0,2,2,3,3,,10
OG0005459,OG0005459,10,0,2,2,3,3,,10
OG0005460,OG0005460,10,0,3,1,4,2,,10
OG0005461,OG0005461,10,1,2,2,3,2,,10
OG0005462,OG0005462,10,1,1,1,5,2,,10
OG0005463,OG0005463,10,0,1,2,6,1,,10
OG0005464,OG0005464,10,0,2,3,4,1,,10
OG0005465,OG0005465,10,2,3,1,3,1,,10
OG0005466,OG0005466,10,1,2,1,6,0,,10
OG0005467,OG0005467,10,1,1,3,4,1,,10
OG0005468,OG0005468,10,1,1,1,6,1,,10
OG0005469,OG0005469,10,1,1,1,5,2,,10
OG0005470,OG0005470,10,0,2,3,4,1,,10
OG0005471,OG0005471,10,0,2,1,4,3,,10
OG0005472,OG0005472,10,1,2,2,4,1,,10
OG0005473,OG0005473,10,2,2,3,3,0,,10
OG0005474,OG0005474,10,1,4,2,2,1,,10
OG0005475,OG0005475,10,0,4,1,4,1,,10
OG0005476,OG0005476,10,1,1,2,5,1,,10
OG0005477,OG0005477,10,0,3,2,4,1,,10
OG0005478,OG0005478,10,1,3,2,3,1,,10
OG0005479,OG0005479,10,1,3,2,3,1,,10
OG0005480,OG0005480,10,1,1,2,4,2,,10
OG0005481,OG0005481,10,2,1,1,5,1,,10
OG0005482,OG0005482,10,0,0,2,7,1,,10
OG0005483,OG0005483,10,1,4,2,3,0,,10
OG0005484,OG0005484,10,1,2,2,3,2,,10
OG0005485,OG0005485,10,1,3,2,3,1,,10
OG0005486,OG0005486,10,0,2,2,4,2,,10
OG0005487,OG0005487,10,0,2,3,4,1,,10
OG0005488,OG0005488,10,0,3,2,3,2,,10
OG0005489,OG0005489,10,1,2,1,4,2,,10
OG0005490,OG0005490,10,1,1,1,5,2,,10
OG0005491,OG0005491,10,2,1,1,3,3,,10
OG0005492,OG0005492,10,1,1,1,5,2,,10
OG0005493,OG0005493,10,1,2,1,5,1,,10
OG0005494,OG0005494,10,2,2,2,2,2,,10
OG0005495,OG0005495,10,1,1,1,5,2,,10
OG0005496,OG0005496,10,2,4,1,3,0,,10
OG0005497,OG0005497,10,2,1,2,3,2,,10
OG0005498,OG0005498,10,2,1,2,4,1,,10
OG0005499,OG0005499,10,2,1,1,3,3,,10
OG0005500,OG0005500,10,0,2,2,3,3,,10
OG0005501,OG0005501,10,0,1,1,5,3,,10
OG0005502,OG0005502,10,2,1,2,4,1,,10
OG0005503,OG0005503,10,1,1,1,5,2,,10
OG0005504,OG0005504,10,0,2,1,3,4,,10
OG0005505,OG0005505,10,2,2,1,2,3,,10
OG0005506,OG0005506,10,1,2,2,4,1,,10
OG0005507,OG0005507,10,1,1,2,5,1,,10
OG0005508,OG0005508,10,3,2,2,3,0,,10
OG0005509,OG0005509,10,0,2,2,5,1,,10
OG0005510,OG0005510,10,1,2,2,4,1,,10
OG0005511,OG0005511,10,1,2,2,4,1,,10
OG0005512,OG0005512,10,1,2,1,4,2,,10
OG0005513,OG0005513,10,1,2,2,2,3,,10
OG0005514,OG0005514,10,2,1,2,4,1,,10
OG0005515,OG0005515,10,0,4,2,3,1,,10
OG0005516,OG0005516,10,2,2,2,4,0,,10
OG0005517,OG0005517,10,3,6,0,1,0,,10
OG0005518,OG0005518,10,2,0,2,4,2,,10
OG0005519,OG0005519,10,0,1,1,7,1,,10
OG0005520,OG0005520,10,1,2,2,4,1,,10
OG0005521,OG0005521,10,0,2,2,2,4,,10
OG0005522,OG0005522,10,2,2,2,3,1,,10
OG0005523,OG0005523,10,2,1,2,3,2,,10
OG0005524,OG0005524,10,1,1,1,4,3,,10
OG0005525,OG0005525,10,0,2,2,2,4,,10
OG0005526,OG0005526,10,1,2,1,4,2,,10
OG0005527,OG0005527,10,0,3,1,4,2,,10
OG0005528,OG0005528,10,0,1,1,2,6,,10
OG0005529,OG0005529,10,2,1,2,3,2,,10
OG0005530,OG0005530,10,2,2,1,2,3,,10
OG0005531,OG0005531,10,0,2,2,3,3,,10
OG0005532,OG0005532,10,0,3,3,1,3,,10
OG0005533,OG0005533,10,0,2,2,5,1,,10
OG0005534,OG0005534,10,3,1,1,2,3,,10
OG0005535,OG0005535,10,2,2,2,2,2,,10
OG0005536,OG0005536,10,1,1,1,5,2,,10
OG0005537,OG0005537,10,1,2,2,4,1,,10
OG0005538,OG0005538,10,0,1,1,7,1,,10
OG0005539,OG0005539,10,0,2,2,4,2,,10
OG0005540,OG0005540,10,3,1,1,2,3,,10
OG0005541,OG0005541,10,1,1,1,3,4,,10
OG0005542,OG0005542,10,0,7,1,1,1,,10
OG0005543,OG0005543,10,1,2,2,3,2,,10
OG0005544,OG0005544,10,1,3,2,3,1,,10
OG0005545,OG0005545,10,1,2,1,4,2,,10
OG0005546,OG0005546,10,0,1,1,6,2,,10
OG0005547,OG0005547,10,2,3,1,2,2,,10
OG0005548,OG0005548,10,2,2,2,2,2,,10
OG0005549,OG0005549,10,1,1,3,3,2,,10
OG0005550,OG0005550,10,0,1,2,6,1,,10
OG0005551,OG0005551,10,0,1,2,5,2,,10
OG0005552,OG0005552,10,1,2,3,3,1,,10
OG0005553,OG0005553,10,1,3,1,1,4,,10
OG0005554,OG0005554,10,2,1,1,4,2,,10
OG0005555,OG0005555,10,2,2,2,2,2,,10
OG0005556,OG0005556,10,0,1,1,6,2,,10
OG0005557,OG0005557,10,0,2,3,2,3,,10
OG0005558,OG0005558,10,0,2,3,3,2,,10
OG0005559,OG0005559,10,0,4,1,4,1,,10
OG0005560,OG0005560,10,0,2,2,3,3,,10
OG0005561,OG0005561,10,0,1,3,5,1,,10
OG0005562,OG0005562,10,0,2,2,4,2,,10
OG0005563,OG0005563,10,0,4,1,3,2,,10
OG0005564,OG0005564,10,1,2,2,2,3,,10
OG0005565,OG0005565,10,1,2,2,3,2,,10
OG0005566,OG0005566,10,2,0,2,5,1,,10
OG0005567,OG0005567,10,1,1,1,2,5,,10
OG0005568,OG0005568,10,2,2,2,2,2,,10
OG0005569,OG0005569,10,1,1,2,5,1,,10
OG0005570,OG0005570,10,1,2,1,3,3,,10
OG0005571,OG0005571,10,2,1,1,3,3,,10
OG0005572,OG0005572,10,0,1,2,6,1,,10
OG0005573,OG0005573,10,2,2,2,2,2,,10
OG0005574,OG0005574,10,1,2,2,4,1,,10
OG0005575,OG0005575,10,1,2,2,3,2,,10
OG0005576,OG0005576,10,3,1,2,2,2,,10
OG0005577,OG0005577,10,1,1,1,5,2,,10
OG0005578,OG0005578,10,1,3,4,1,1,,10
OG0005579,OG0005579,10,2,2,2,2,2,,10
OG0005580,OG0005580,10,0,3,1,3,3,,10
OG0005581,OG0005581,10,2,2,2,2,2,,10
OG0005582,OG0005582,10,0,4,1,2,3,,10
OG0005583,OG0005583,10,0,3,2,4,1,,10
OG0005584,OG0005584,10,1,2,2,3,2,,10
OG0005585,OG0005585,10,1,3,3,1,2,,10
OG0005586,OG0005586,10,1,2,1,3,3,,10
OG0005587,OG0005587,10,1,1,3,3,2,,10
OG0005588,OG0005588,10,1,1,1,6,1,,10
OG0005589,OG0005589,10,1,1,2,5,1,,10
OG0005590,OG0005590,10,0,0,2,6,2,,10
OG0005591,OG0005591,10,1,2,2,4,1,,10
OG0005592,OG0005592,10,2,1,1,5,1,,10
OG0005593,OG0005593,10,1,2,2,4,1,,10
OG0005594,OG0005594,10,1,1,3,4,1,,10
OG0005595,OG0005595,10,0,2,2,4,2,,10
OG0005596,OG0005596,10,1,0,1,5,3,,10
OG0005597,OG0005597,10,1,1,2,4,2,,10
OG0005598,OG0005598,10,1,1,2,5,1,,10
OG0005599,OG0005599,10,1,2,1,4,2,,10
OG0005600,OG0005600,10,1,1,2,4,2,,10
OG0005601,OG0005601,10,3,1,3,2,1,,10
OG0005602,OG0005602,10,0,1,2,5,2,,10
OG0005603,OG0005603,10,1,2,1,3,3,,10
OG0005604,OG0005604,10,1,1,1,4,3,,10
OG0005605,OG0005605,10,0,2,2,3,3,,10
OG0005606,OG0005606,10,1,2,2,4,1,,10
OG0005607,OG0005607,10,0,2,1,5,2,,10
OG0005608,OG0005608,10,1,1,1,6,1,,10
OG0005609,OG0005609,10,2,1,2,4,1,,10
OG0005610,OG0005610,10,2,2,2,3,1,,10
OG0005611,OG0005611,10,0,2,1,6,1,,10
OG0005612,OG0005612,10,0,2,3,4,1,,10
OG0005613,OG0005613,10,0,5,1,2,2,,10
OG0005614,OG0005614,10,0,1,1,7,1,,10
OG0005615,OG0005615,10,1,2,2,4,1,,10
OG0005616,OG0005616,10,1,3,0,1,5,,10
OG0005617,OG0005617,10,1,2,2,3,2,,10
OG0005618,OG0005618,10,1,2,2,3,2,,10
OG0005619,OG0005619,10,0,4,2,3,1,,10
OG0005620,OG0005620,10,1,2,2,4,1,,10
OG0005621,OG0005621,10,0,2,2,4,2,,10
OG0005622,OG0005622,10,0,1,2,4,3,,10
OG0005623,OG0005623,10,1,1,2,4,2,,10
OG0005624,OG0005624,10,3,2,2,2,1,,10
OG0005625,OG0005625,10,2,1,2,3,2,,10
OG0005626,OG0005626,10,0,4,2,3,1,,10
OG0005627,OG0005627,10,1,2,2,2,3,,10
OG0005628,OG0005628,10,1,2,4,1,2,,10
OG0005629,OG0005629,10,0,3,1,4,2,,10
OG0005630,OG0005630,10,1,4,2,2,1,,10
OG0005631,OG0005631,10,1,2,1,5,1,,10
OG0005632,OG0005632,10,1,3,1,2,3,,10
OG0005633,OG0005633,10,0,0,2,6,2,,10
OG0005634,OG0005634,10,1,2,2,3,2,,10
OG0005635,OG0005635,10,1,1,4,2,2,,10
OG0005636,OG0005636,10,0,3,1,5,1,,10
OG0005637,OG0005637,10,3,1,2,3,1,,10
OG0005638,OG0005638,10,1,2,2,4,1,,10
OG0005639,OG0005639,10,1,2,0,6,1,,10
OG0005640,OG0005640,10,0,3,1,4,2,,10
OG0005641,OG0005641,10,1,1,1,5,2,,10
OG0005642,OG0005642,10,0,3,1,4,2,,10
OG0005643,OG0005643,10,2,1,2,2,3,,10
OG0005644,OG0005644,10,0,1,2,4,3,,10
OG0005645,OG0005645,10,0,2,1,5,2,,10
OG0005646,OG0005646,10,2,1,2,4,1,,10
OG0005647,OG0005647,10,1,4,2,3,0,,10
OG0005648,OG0005648,10,0,2,2,5,1,,10
OG0005649,OG0005649,10,1,1,2,4,2,,10
OG0005650,OG0005650,10,1,3,2,2,2,,10
OG0005651,OG0005651,10,1,2,2,4,1,,10
OG0005652,OG0005652,10,2,2,3,2,1,,10
OG0005653,OG0005653,10,1,3,2,3,1,,10
OG0005654,OG0005654,10,1,3,0,5,1,,10
OG0005655,OG0005655,10,1,2,1,4,2,,10
OG0005656,OG0005656,10,0,3,1,4,2,,10
OG0005657,OG0005657,10,2,2,1,4,1,,10
OG0005658,OG0005658,10,2,2,1,2,3,,10
OG0005659,OG0005659,10,2,3,1,3,1,,10
OG0005660,OG0005660,10,0,2,2,5,1,,10
OG0005661,OG0005661,10,1,2,1,5,1,,10
OG0005662,OG0005662,10,0,2,1,4,3,,10
OG0005663,OG0005663,10,1,3,2,2,2,,10
OG0005664,OG0005664,10,0,3,1,4,2,,10
OG0005665,OG0005665,10,0,1,3,4,2,,10
OG0005666,OG0005666,10,1,2,1,5,1,,10
OG0005667,OG0005667,10,0,4,2,2,2,,10
OG0005668,OG0005668,10,0,1,1,7,1,,10
OG0005669,OG0005669,10,1,2,2,3,2,,10
OG0005670,OG0005670,10,0,9,0,1,0,,10
OG0005671,OG0005671,10,2,3,2,2,1,,10
OG0005672,OG0005672,10,1,3,2,2,2,,10
OG0005673,OG0005673,10,0,1,2,6,1,,10
OG0005674,OG0005674,10,1,2,2,3,2,,10
OG0005675,OG0005675,10,0,2,2,5,1,,10
OG0005676,OG0005676,10,2,2,3,2,1,,10
OG0005677,OG0005677,10,0,3,3,3,1,,10
OG0005678,OG0005678,10,1,4,1,2,2,,10
OG0005679,OG0005679,10,1,1,2,1,5,,10
OG0005680,OG0005680,10,0,3,2,3,2,,10
OG0005681,OG0005681,10,0,1,2,4,3,,10
OG0005682,OG0005682,10,2,1,2,3,2,,10
OG0005683,OG0005683,10,1,2,4,2,1,,10
OG0005684,OG0005684,10,2,1,1,2,4,,10
OG0005685,OG0005685,10,0,0,1,6,3,,10
OG0005686,OG0005686,10,1,2,2,4,1,,10
OG0005687,OG0005687,10,1,2,2,3,2,,10
OG0005688,OG0005688,10,1,2,2,3,2,,10
OG0005689,OG0005689,10,1,1,3,4,1,,10
OG0005690,OG0005690,10,3,2,1,3,1,,10
OG0005691,OG0005691,10,2,1,2,2,3,,10
OG0005692,OG0005692,10,1,2,3,3,1,,10
OG0005693,OG0005693,10,1,1,1,6,1,,10
OG0005694,OG0005694,10,2,0,1,5,2,,10
OG0005695,OG0005695,10,0,2,2,4,2,,10
OG0005696,OG0005696,10,2,1,2,2,3,,10
OG0005697,OG0005697,10,2,0,2,5,1,,10
OG0005698,OG0005698,10,1,1,2,5,1,,10
OG0005699,OG0005699,10,2,1,2,3,2,,10
OG0005700,OG0005700,10,2,2,2,2,2,,10
OG0005701,OG0005701,10,0,3,2,3,2,,10
OG0005702,OG0005702,10,1,5,1,1,2,,10
OG0005703,OG0005703,10,0,1,4,4,1,,10
OG0005704,OG0005704,10,1,1,2,4,2,,10
OG0005705,OG0005705,10,0,2,2,5,1,,10
OG0005706,OG0005706,10,1,1,1,6,1,,10
OG0005707,OG0005707,10,1,2,1,4,2,,10
OG0005708,OG0005708,10,0,1,1,6,2,,10
OG0005709,OG0005709,10,1,1,1,2,5,,10
OG0005710,OG0005710,10,1,1,2,5,1,,10
OG0005711,OG0005711,10,0,2,1,6,1,,10
OG0005712,OG0005712,10,3,1,2,3,1,,10
OG0005713,OG0005713,10,1,2,1,3,3,,10
OG0005714,OG0005714,10,1,3,1,2,3,,10
OG0005715,OG0005715,10,1,2,2,2,3,,10
OG0005716,OG0005716,10,0,3,2,3,2,,10
OG0005717,OG0005717,10,2,1,2,4,1,,10
OG0005718,OG0005718,10,2,2,1,3,2,,10
OG0005719,OG0005719,10,0,2,2,5,1,,10
OG0005720,OG0005720,10,0,2,2,5,1,,10
OG0005721,OG0005721,10,3,1,1,2,3,,10
OG0005722,OG0005722,10,0,3,2,4,1,,10
OG0005723,OG0005723,10,1,1,1,7,0,,10
OG0005724,OG0005724,10,1,1,3,3,2,,10
OG0005725,OG0005725,10,1,2,2,4,1,,10
OG0005726,OG0005726,10,0,6,1,1,2,,10
OG0005727,OG0005727,10,0,1,3,5,1,,10
OG0005728,OG0005728,10,1,1,1,5,2,,10
OG0005729,OG0005729,10,0,1,1,7,1,,10
OG0005730,OG0005730,10,1,4,1,2,2,,10
OG0005731,OG0005731,10,1,3,2,2,2,,10
OG0005732,OG0005732,10,2,2,2,3,1,,10
OG0005733,OG0005733,10,1,2,1,2,4,,10
OG0005734,OG0005734,10,0,2,2,4,2,,10
OG0005735,OG0005735,10,3,1,2,2,2,,10
OG0005736,OG0005736,10,2,1,2,4,1,,10
OG0005737,OG0005737,10,1,1,1,5,2,,10
OG0005738,OG0005738,10,1,3,1,3,2,,10
OG0005739,OG0005739,10,1,2,2,2,3,,10
OG0005740,OG0005740,10,1,2,1,5,1,,10
OG0005741,OG0005741,10,0,4,2,2,2,,10
OG0005742,OG0005742,10,1,1,2,4,2,,10
OG0005743,OG0005743,10,2,3,1,4,0,,10
OG0005744,OG0005744,10,1,2,1,5,1,,10
OG0005745,OG0005745,10,1,1,4,2,2,,10
OG0005746,OG0005746,10,2,1,2,3,2,,10
OG0005747,OG0005747,10,1,3,1,4,1,,10
OG0005748,OG0005748,10,1,2,1,2,4,,10
OG0005749,OG0005749,10,0,3,2,1,4,,10
OG0005750,OG0005750,10,1,1,2,2,4,,10
OG0005751,OG0005751,10,2,2,2,3,1,,10
OG0005752,OG0005752,10,1,1,1,6,1,,10
OG0005753,OG0005753,10,0,2,1,5,2,,10
OG0005754,OG0005754,10,1,3,1,4,1,,10
OG0005755,OG0005755,10,1,2,1,5,1,,10
OG0005756,OG0005756,10,0,8,0,2,0,,10
OG0005757,OG0005757,10,1,1,4,3,1,,10
OG0005758,OG0005758,10,1,2,2,3,2,,10
OG0005759,OG0005759,10,2,1,2,4,1,,10
OG0005760,OG0005760,10,1,2,2,4,1,,10
OG0005761,OG0005761,10,0,3,1,4,2,,10
OG0005762,OG0005762,10,0,4,1,3,2,,10
OG0005763,OG0005763,10,1,1,2,4,2,,10
OG0005764,OG0005764,10,0,2,2,3,3,,10
OG0005765,OG0005765,10,0,3,1,2,4,,10
OG0005766,OG0005766,10,1,4,0,2,3,,10
OG0005767,OG0005767,10,1,1,2,3,3,,10
OG0005768,OG0005768,10,1,1,1,6,1,,10
OG0005769,OG0005769,10,0,1,1,5,3,,10
OG0005770,OG0005770,10,1,0,5,2,2,,10
OG0005771,OG0005771,10,2,0,1,6,1,,10
OG0005772,OG0005772,10,0,0,1,9,0,,10
OG0005773,OG0005773,10,0,2,1,6,1,,10
OG0005774,OG0005774,10,0,2,1,6,1,,10
OG0005775,OG0005775,10,1,2,2,3,2,,10
OG0005776,OG0005776,10,3,1,1,4,1,,10
OG0005777,OG0005777,10,0,1,1,7,1,,10
OG0005778,OG0005778,10,0,2,3,3,2,,10
OG0005779,OG0005779,10,1,3,1,3,2,,10
OG0005780,OG0005780,10,0,3,1,3,3,,10
OG0005781,OG0005781,10,0,2,2,3,3,,10
OG0005782,OG0005782,10,0,4,1,2,3,,10
OG0005783,OG0005783,10,1,2,1,4,2,,10
OG0005784,OG0005784,10,0,2,2,5,1,,10
OG0005785,OG0005785,10,3,2,2,2,1,,10
OG0005786,OG0005786,10,1,2,1,5,1,,10
OG0005787,OG0005787,10,1,1,2,4,2,,10
OG0005788,OG0005788,10,1,4,1,2,2,,10
OG0005789,OG0005789,10,1,2,1,4,2,,10
OG0005790,OG0005790,10,1,2,2,3,2,,10
OG0005791,OG0005791,10,0,1,1,6,2,,10
OG0005792,OG0005792,10,1,2,1,2,4,,10
OG0005793,OG0005793,10,1,2,1,5,1,,10
