,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:PHAVU_008G199000g,"4972,1173639846","10,3378457936","2,2970330674","4,5005211027","6,78E-06","0,004349211"
gene:PHAVU_008G204400g,"28,655130405","8,3426760604","3,1833142073","2,6207516811","0,0087736142",NA
gene:PHAVU_008G205600g,"350,6476477861","4,8191553143","1,809461156","2,6633096259","0,0077376181","0,3581052057"
gene:PHAVU_008G217100g,"1413,4794325245","13,9669323402","3,1863897742","4,3833094285","1,17E-05","0,0058124854"
gene:PHAVU_008G237400g,"13356,621572599","9,7184887163","2,2098958944","4,3977133679","1,09E-05","0,0057043409"
gene:PHAVU_008G251000g,"1891,992504735","9,1350961764","2,2204347342","4,1141025384","3,89E-05","0,0108576008"
gene:PHAVU_008G254400g,"981,2100952189","4,7761361025","1,766721779","2,7033889316","0,0068636382","0,333440661"
gene:PHAVU_008G265800g,"534,0274302756","12,5626871841","3,1207103956","4,0255857134","5,68E-05","0,0145745763"
gene:PHAVU_008G277400g,"874,1867674319","7,0126545195","2,0206876427","3,4704297544","0,0005196262","0,0588859053"
gene:PHAVU_008G291800g,"5733,01171948","7,0255994352","1,981112614","3,5462897897","0,0003906963","0,0488932989"
gene:PHAVU_008G292300g,"11004,6994818177","4,7064550561","1,7395639533","2,7055372394","0,0068194002","0,3331082891"
gene:PHAVU_009G0007001g,"76,5461904315","7,3084998364","2,56676604","2,8473572279","0,0044083863","0,2438664931"
gene:PHAVU_009G002200g,"57296,5604887566","4,7442348029","1,7422390009","2,7230677309","0,0064678796","0,320180509"
gene:PHAVU_009G020500g,"1521,5598189536","8,8201183571","2,1977750747","4,0132033795","5,99E-05","0,014640934"
gene:PHAVU_009G021600g,"1268,3225588471","4,5391247049","1,7342766811","2,6173013535","0,0088628058","0,3913506918"
gene:PHAVU_009G028500g,"725,2071944299","5,8361240272","1,8959955674","3,0781316832","0,0020830285","0,1416731056"
gene:PHAVU_009G072900g,"61,9581240435","7,0013200702","2,5745292931","2,7194563639","0,0065389322",NA
gene:PHAVU_009G078100g,"1012,0315513191","4,8644163317","1,7762584812","2,7385745843","0,0061706162","0,3074106673"
gene:PHAVU_009G082500g,"509,4580026274","9,0494129047","2,3802763844","3,8018328309","0,0001436296","0,0246900909"
gene:PHAVU_009G084900g,"423,0669773552","5,0987397385","1,8333015381","2,7811790001","0,0054161864","0,2745569399"
gene:PHAVU_009G087200g,"761,5679390847","6,6175548828","1,9823832628","3,3381813734","0,0008432868","0,0799487038"
gene:PHAVU_009G090700g,"128,5641113204","6,4644721878","2,1703644842","2,9785191543","0,0028964493","0,1812366227"
gene:PHAVU_009G104900g,"9942,2992961086","7,6734464027","2,0372173351","3,7666312134","0,0001654651","0,0272460122"
gene:PHAVU_009G109700g,"3425,7231121533","5,3230084261","1,8122309274","2,9372682839","0,0033111752","0,198454839"
gene:PHAVU_009G115800g,"7700,8196181529","5,946952454","1,8737515362","3,173821256","0,0015044631","0,1115370427"
gene:PHAVU_009G119200g,"1449,3723841178","5,8350709805","1,877467613","3,1079476099","0,0018839146","0,1315628404"
gene:PHAVU_009G129300g,"3331,048257356","4,483719331","1,7181045628","2,6096894381","0,0090624454","0,3954523591"
gene:PHAVU_009G134300g,"832,0949966962","6,154883041","1,9268846768","3,1942145346","0,0014021188","0,1073164341"
gene:PHAVU_009G135300g,"135,89930262","7,1354973875","2,2938857345","3,1106594719","0,0018667007","0,1310066247"
